date,day_overall_peak_0_100,day_absolute_peak_0_100,day_local_peak_0_100,day_atmospheric_peak_0_100,day_confidence_at_peak_0_100,best_30m_start,best_hour_start,best_hour_score_0_100,best_window_start,best_window_end,best_window_mean_0_100,peak_uv_index,peak_predicted_uva_wm2,peak_temperature_f,peak_precip_probability_pct,blocked_half_hours,day_status
2026-09-22,59.2,51.0,84.1,48.0,86.9,2026-09-22T13:30:00,2026-09-22T13:00:00,58.9,2026-09-22T11:30:00,2026-09-22T16:00:00,54.0,6.78,48.89,,,0,GOOD
2026-09-23,56.1,47.9,81.8,53.0,74.8,2026-09-23T14:00:00,2026-09-23T13:30:00,55.7,2026-09-23T11:00:00,2026-09-23T16:00:00,52.6,6.65,44.41,,,0,GOOD
2026-09-24,58.4,51.2,87.8,50.8,72.0,2026-09-24T13:00:00,2026-09-24T13:00:00,58.4,2026-09-24T11:30:00,2026-09-24T15:30:00,55.0,6.8,49.13,,,0,GOOD
2026-09-25,56.7,47.9,83.2,58.0,74.6,2026-09-25T14:00:00,2026-09-25T13:30:00,56.0,2026-09-25T12:00:00,2026-09-25T16:00:00,51.2,6.25,46.68,,,0,GOOD
2026-09-26,53.9,46.7,81.7,54.0,63.3,2026-09-26T14:00:00,2026-09-26T14:00:00,53.2,2026-09-26T11:00:00,2026-09-26T16:00:00,49.0,6.1,45.44,,,0,GOOD
2026-09-27,56.8,51.4,90.1,61.1,50.8,2026-09-27T13:00:00,2026-09-27T13:00:00,56.5,2026-09-27T11:00:00,2026-09-27T15:30:00,52.5,6.65,50.33,,,0,GOOD
2026-09-28,57.5,50.9,89.9,60.7,58.0,2026-09-28T13:00:00,2026-09-28T13:00:00,57.5,2026-09-28T11:00:00,2026-09-28T15:30:00,53.3,6.6,49.73,,,0,GOOD
2026-09-29,59.0,51.1,90.9,65.1,63.9,2026-09-29T13:00:00,2026-09-29T13:00:00,58.8,2026-09-29T11:30:00,2026-09-29T15:30:00,55.3,6.65,49.91,,,0,GOOD
2026-09-30,59.4,50.4,90.4,63.6,71.6,2026-09-30T13:00:00,2026-09-30T13:00:00,59.1,2026-09-30T11:30:00,2026-09-30T15:30:00,55.6,6.55,49.18,,,0,GOOD
2026-10-01,58.5,50.1,90.5,64.4,65.9,2026-10-01T13:00:00,2026-10-01T13:00:00,58.4,2026-10-01T11:30:00,2026-10-01T15:30:00,55.2,6.5,49.07,,,0,GOOD
2026-10-02,60.0,49.6,90.3,64.2,81.2,2026-10-02T13:00:00,2026-10-02T13:00:00,59.8,2026-10-02T11:30:00,2026-10-02T15:30:00,56.2,6.4,48.71,,,0,GOOD
2026-10-03,59.5,49.1,90.2,63.9,81.1,2026-10-03T13:00:00,2026-10-03T12:30:00,59.1,2026-10-03T11:30:00,2026-10-03T15:00:00,56.1,6.35,48.13,,,0,GOOD
2026-10-04,59.7,49.1,90.8,66.5,79.5,2026-10-04T13:00:00,2026-10-04T13:00:00,59.5,2026-10-04T11:30:00,2026-10-04T15:30:00,55.7,6.35,48.05,,,0,GOOD
2026-10-05,59.6,48.7,90.9,67.3,81.2,2026-10-05T13:00:00,2026-10-05T13:00:00,59.4,2026-10-05T11:30:00,2026-10-05T15:30:00,55.8,6.3,47.78,,,0,GOOD
