time,temperature_2m__count,temperature_2m__mean,temperature_2m__median,temperature_2m__std,temperature_2m__min,temperature_2m__max,cloud_cover__count,cloud_cover__mean,cloud_cover__median,cloud_cover__std,cloud_cover__min,cloud_cover__max,cloud_cover_low__count,cloud_cover_low__mean,cloud_cover_low__median,cloud_cover_low__std,cloud_cover_low__min,cloud_cover_low__max,cloud_cover_mid__count,cloud_cover_mid__mean,cloud_cover_mid__median,cloud_cover_mid__std,cloud_cover_mid__min,cloud_cover_mid__max,cloud_cover_high__count,cloud_cover_high__mean,cloud_cover_high__median,cloud_cover_high__std,cloud_cover_high__min,cloud_cover_high__max,precipitation_probability__count,precipitation_probability__mean,precipitation_probability__median,precipitation_probability__std,precipitation_probability__min,precipitation_probability__max,shortwave_radiation_instant__count,shortwave_radiation_instant__mean,shortwave_radiation_instant__median,shortwave_radiation_instant__std,shortwave_radiation_instant__min,shortwave_radiation_instant__max,direct_normal_irradiance_instant__count,direct_normal_irradiance_instant__mean,direct_normal_irradiance_instant__median,direct_normal_irradiance_instant__std,direct_normal_irradiance_instant__min,direct_normal_irradiance_instant__max,diffuse_radiation_instant__count,diffuse_radiation_instant__mean,diffuse_radiation_instant__median,diffuse_radiation_instant__std,diffuse_radiation_instant__min,diffuse_radiation_instant__max,sun_score_0_100__count,sun_score_0_100__mean,sun_score_0_100__median,sun_score_0_100__std,sun_score_0_100__min,sun_score_0_100__max,deterministic_agreement_0_100
2026-09-22T00:00,12,65.01666666666665,65.15,3.0087246870433746,60.9,69.1,12,3.0,0.0,5.427204202399745,0.0,18.0,11,1.7272727272727273,0.0,2.8316394223456167,0.0,8.0,11,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,86.7
2026-09-22T01:00,12,64.50833333333334,64.85,2.9779365440865364,60.4,68.7,12,4.083333333333333,1.0,5.434876152027642,0.0,15.0,11,3.5454545454545454,0.0,5.354692080103884,0.0,15.0,11,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,86.8
2026-09-22T02:00,12,64.00833333333333,64.69999999999999,2.9800727060481798,60.0,68.3,12,5.916666666666667,1.0,8.084309531806698,0.0,25.0,11,6.454545454545454,4.0,8.054360761272573,0.0,25.0,11,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,84.9
2026-09-22T03:00,12,63.46666666666667,64.25,2.965968593388966,59.6,67.8,12,11.666666666666666,1.5,16.983057511067976,0.0,52.0,11,12.363636363636363,4.0,17.368205015330325,0.0,52.0,11,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,78.6
2026-09-22T04:00,12,63.083333333333336,63.9,2.93469321095481,59.5,67.4,12,15.083333333333334,5.0,20.593283694771294,0.0,64.0,11,16.09090909090909,7.0,20.781985205723466,0.0,64.0,11,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,76.1
2026-09-22T05:00,12,63.79166666666668,64.35,2.5400280361134633,59.2,67.1,12,28.583333333333332,15.5,33.63023080864038,0.0,95.0,11,17.272727272727273,12.0,14.45746111245615,0.0,44.0,11,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,68.0
2026-09-22T06:00,12,63.05000000000001,63.75,2.859275178337084,58.5,66.7,12,14.166666666666666,15.0,15.729724804466303,0.0,43.0,11,18.636363636363637,18.0,15.16754909187854,0.0,43.0,11,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,79.8
2026-09-22T07:00,12,63.35833333333333,63.650000000000006,2.948484459185875,58.3,67.6,12,19.833333333333332,14.5,27.790885796126283,0.0,100.0,11,27.454545454545453,18.0,27.598418927045937,0.0,100.0,11,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,11,15.67272727272727,17.6,12.83581636742213,0.0,40.7,11,15.072727272727274,0.0,49.99058093099322,0.0,165.8,11,14.890909090909089,17.6,12.987798469752642,0.0,40.7,11,8.227272727272727,8.7,6.3990766379362745,0.0,17.7,64.2
2026-09-22T08:00,12,65.925,66.30000000000001,2.210357848444864,61.2,68.7,12,11.833333333333334,4.5,16.134848413707935,0.0,50.0,11,21.363636363636363,15.0,20.843573241038722,0.0,50.0,11,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,11,178.45454545454547,172.4,18.359812833270585,155.5,212.1,11,507.0454545454546,452.4,210.9357217904846,267.8,977.3,11,99.00909090909092,111.8,25.032956459254045,57.0,123.9,11,62.07272727272727,60.3,11.585084454512272,45.0,88.4,57.9
2026-09-22T09:00,12,68.85000000000001,68.9,0.9501196096951534,67.2,70.3,12,17.666666666666668,11.0,19.713093633574122,0.0,56.0,11,26.09090909090909,24.0,22.673572922918638,0.0,56.0,11,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,11,364.88181818181823,376.9,50.74827717631049,244.0,419.8,11,621.9909090909091,624.0,190.9136111153181,255.6,914.7,11,140.16363636363639,159.9,32.319971309618225,88.4,168.5,11,73.36363636363636,74.4,11.736547424798554,47.0,92.4,56.8
