time_utc,cams_total_aerosol_optical_depth_at_469nm,cams_total_aerosol_optical_depth_at_550nm,cams_total_aerosol_optical_depth_at_670nm,cams_total_aerosol_optical_depth_at_865nm,cams_gems_total_column_ozone,cams_total_cloud_cover,source
2003-01-06 12:00:00+00:00,0.032470383,0.026506348,0.020376334,0.014229026,0.006117844,0.0,cams_eac4
2003-01-06 15:00:00+00:00,0.033693455,0.027367698,0.020871062,0.0143728135,0.0061420775,0.0,cams_eac4
2003-01-06 18:00:00+00:00,0.03457406,0.027729068,0.020722514,0.013766535,0.0061812215,0.0,cams_eac4
2003-01-06 21:00:00+00:00,0.053209554,0.042191934,0.030956399,0.019934587,0.006203903,0.0,cams_eac4
2003-01-07 00:00:00+00:00,0.12356279,0.09763524,0.071145795,0.04530888,0.006224492,0.0,cams_eac4
2003-01-07 03:00:00+00:00,0.071571976,0.056680404,0.041465264,0.02666255,0.006188932,0.0,cams_eac4
2003-01-07 06:00:00+00:00,0.080591984,0.064632505,0.04830912,0.032313056,0.006292678,0.0,cams_eac4
2003-01-07 09:00:00+00:00,0.10406371,0.08345136,0.062483516,0.042163637,0.006444212,0.0,cams_eac4
2003-01-07 12:00:00+00:00,0.07922071,0.06522785,0.050991476,0.037182,0.0063307798,0.0,cams_eac4
2003-01-07 15:00:00+00:00,0.07815882,0.06611323,0.053900953,0.04194504,0.006280041,0.0,cams_eac4
2003-01-07 18:00:00+00:00,0.09059984,0.076450914,0.062120236,0.048059896,0.006271498,0.0,cams_eac4
2003-01-07 21:00:00+00:00,0.10960643,0.090753876,0.07153793,0.05264654,0.0062389197,0.0,cams_eac4
2003-01-08 00:00:00+00:00,0.23146038,0.18923172,0.14604703,0.10376647,0.0061974665,0.21363068,cams_eac4
2003-01-08 03:00:00+00:00,0.25186002,0.20555499,0.15819167,0.11198922,0.006168151,0.21302205,cams_eac4
2003-01-08 06:00:00+00:00,0.20306203,0.16551739,0.12735632,0.09033475,0.0062282374,0.0,cams_eac4
2003-01-08 09:00:00+00:00,0.17938882,0.14718617,0.1143841,0.082378194,0.006264485,0.0,cams_eac4
2003-01-08 12:00:00+00:00,0.10701214,0.08771515,0.06794504,0.048317064,0.006020269,0.15840563,cams_eac4
2003-01-08 15:00:00+00:00,0.15270971,0.124505006,0.09528927,0.06611554,0.0058956784,0.55050707,cams_eac4
2003-01-08 18:00:00+00:00,0.20783216,0.16932756,0.12902644,0.08879928,0.005968888,0.3487429,cams_eac4
2003-01-08 21:00:00+00:00,0.2850389,0.23194148,0.17588669,0.11966123,0.0060058413,0.33840775,cams_eac4
2003-01-09 00:00:00+00:00,0.30929607,0.25062957,0.18894234,0.12747584,0.0060635447,0.06535963,cams_eac4
2003-01-09 03:00:00+00:00,0.35064834,0.28390986,0.21342453,0.1427795,0.0061430815,0.010950778,cams_eac4
2003-01-09 06:00:00+00:00,0.41255328,0.3357101,0.2534626,0.16956718,0.006304052,0.0028242557,cams_eac4
2003-01-09 09:00:00+00:00,0.45756793,0.3749938,0.28533173,0.19214062,0.006428538,0.22367805,cams_eac4
2003-01-09 12:00:00+00:00,0.116073914,0.09538287,0.073321,0.050623037,0.006526192,0.53856355,cams_eac4
2003-01-09 15:00:00+00:00,0.14751261,0.12206504,0.094420925,0.06537909,0.0066845343,0.7421366,cams_eac4
2003-01-09 18:00:00+00:00,0.16138473,0.13199328,0.10051082,0.06807492,0.0067602308,0.6343889,cams_eac4
2003-01-09 21:00:00+00:00,0.16872668,0.13729332,0.10381645,0.06970863,0.00673132,0.41901797,cams_eac4
2003-01-10 00:00:00+00:00,0.1943073,0.15767807,0.11873056,0.07924813,0.006698305,0.25538117,cams_eac4
2003-01-10 03:00:00+00:00,0.1913507,0.15576774,0.11778251,0.07909763,0.006700264,0.31208074,cams_eac4
2003-01-10 06:00:00+00:00,0.18735829,0.15290749,0.11601077,0.07819092,0.006671397,0.04249517,cams_eac4
2003-01-10 09:00:00+00:00,0.2128919,0.17562647,0.13524762,0.09302294,0.006679611,0.7366857,cams_eac4
2003-01-10 12:00:00+00:00,0.21969756,0.1829508,0.14295062,0.100778,0.006541124,1.0,cams_eac4
2003-01-10 15:00:00+00:00,0.25938728,0.21717125,0.170854,0.12150785,0.0065371892,0.9837347,cams_eac4
2003-01-10 18:00:00+00:00,0.31890708,0.267717,0.21122491,0.1507464,0.006545364,0.9803404,cams_eac4
2003-01-10 21:00:00+00:00,0.2893371,0.24031143,0.18756591,0.13285094,0.006468308,0.99717575,cams_eac4
2003-01-11 00:00:00+00:00,0.26913399,0.22109613,0.16991964,0.11758442,0.0063813063,0.92132425,cams_eac4
2003-01-11 03:00:00+00:00,0.26514316,0.21527162,0.16239646,0.10868883,0.0063886,0.21971756,cams_eac4
2003-01-11 06:00:00+00:00,0.27581435,0.22317141,0.16739978,0.11067103,0.0063294787,0.023746826,cams_eac4
2003-01-11 09:00:00+00:00,0.29703212,0.24054365,0.18069349,0.11960332,0.0061354204,0.0,cams_eac4
2003-01-11 12:00:00+00:00,0.18342175,0.1505183,0.11493604,0.07740611,0.0059714005,0.98779976,cams_eac4
2003-01-11 15:00:00+00:00,0.27955237,0.22857201,0.17350377,0.11573905,0.0058897617,0.95656216,cams_eac4
2003-01-11 18:00:00+00:00,0.37295806,0.30234662,0.22667015,0.14852063,0.0058125486,0.9679386,cams_eac4
2003-01-11 21:00:00+00:00,0.4581418,0.36804152,0.27269083,0.17595987,0.00575084,0.82218647,cams_eac4
2003-01-12 00:00:00+00:00,0.23312148,0.18654399,0.13782279,0.089166164,0.0057120714,0.6352532,cams_eac4
2003-01-12 03:00:00+00:00,0.29073125,0.23220319,0.17106883,0.110085756,0.005706879,0.029660948,cams_eac4
2003-01-12 06:00:00+00:00,0.32447544,0.26044375,0.19340836,0.12615915,0.0056833797,0.13833717,cams_eac4
2003-01-12 09:00:00+00:00,0.31472933,0.25332412,0.1887913,0.123492755,0.0057073906,0.23741591,cams_eac4
2003-01-12 12:00:00+00:00,0.16708176,0.13566795,0.102475956,0.06828499,0.005580622,0.86226165,cams_eac4
2003-01-12 15:00:00+00:00,0.27535924,0.22315514,0.16759674,0.11024673,0.0056116283,0.77923965,cams_eac4
2003-01-12 18:00:00+00:00,0.36529368,0.29300916,0.21674304,0.13951927,0.0056679416,0.828071,cams_eac4
2003-01-12 21:00:00+00:00,0.45994616,0.3662752,0.268012,0.16974206,0.005681858,0.1573875,cams_eac4
2003-01-13 00:00:00+00:00,0.4808528,0.38302788,0.28023422,0.17737222,0.0056542405,0.21240234,cams_eac4
2003-01-13 03:00:00+00:00,0.49326333,0.392547,0.28710285,0.18188581,0.005610711,0.2586304,cams_eac4
2003-01-13 06:00:00+00:00,0.49764863,0.3960032,0.28977662,0.18376642,0.005576507,0.06248336,cams_eac4
2003-01-13 09:00:00+00:00,0.5066696,0.40340078,0.29557717,0.1878002,0.0055294293,0.011287689,cams_eac4
2003-01-13 12:00:00+00:00,0.6782048,0.5418044,0.39875072,0.25477523,0.005440803,0.7116497,cams_eac4
2003-01-13 15:00:00+00:00,0.59256,0.47244483,0.3469544,0.22119638,0.005474757,0.6494351,cams_eac4
2003-01-13 18:00:00+00:00,0.52546865,0.4174177,0.30512857,0.19344309,0.0055273655,0.22386251,cams_eac4
2003-01-13 21:00:00+00:00,0.5812153,0.46043828,0.33521283,0.211293,0.0055192015,0.15013942,cams_eac4
2003-01-14 00:00:00+00:00,0.5875621,0.46581757,0.33937347,0.21407045,0.005514826,0.9687556,cams_eac4
