model,time,member_count,p_cloud_lt_30,p_cloud_lt_60,p_precip_gt_0_01in,p_uv_ge_3,p_uv_ge_5,p_uv_ge_6,p_ghi_instant_ge_500,p_ghi_instant_ge_700,p_dni_instant_ge_600,p_dni_instant_ge_800,p_sun_score_ge_70,p_sun_score_ge_85,ghi_instant_mean,ghi_instant_std,dni_instant_mean,dni_instant_std,cloud_mean,cloud_std,uv_mean,uv_std
ecmwf_aifs025_ensemble,2026-09-21T00:00,51,47.05882352941176,98.0392156862745,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.901960784313726,8.263788240173593,,
ecmwf_aifs025_ensemble,2026-09-21T01:00,51,1.9607843137254901,98.0392156862745,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.31372549019608,8.261937293585401,,
ecmwf_aifs025_ensemble,2026-09-21T02:00,51,0.0,76.47058823529412,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.01960784313726,8.762397379891947,,
ecmwf_aifs025_ensemble,2026-09-21T03:00,51,0.0,19.607843137254903,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.03921568627452,9.707648086562937,,
ecmwf_aifs025_ensemble,2026-09-21T04:00,51,0.0,5.88235294117647,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.09803921568627,10.973157981111516,,
ecmwf_aifs025_ensemble,2026-09-21T05:00,51,0.0,3.9215686274509802,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.2156862745098,11.564279009934335,,
ecmwf_aifs025_ensemble,2026-09-21T06:00,51,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.29411764705883,11.011437903647387,,
ecmwf_aifs025_ensemble,2026-09-21T07:00,51,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,30.93333333333334,5.548212925498325,0.0,0.0,90.19607843137256,9.822463250820817,,
ecmwf_aifs025_ensemble,2026-09-21T08:00,51,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,156.12941176470588,23.67617616185221,297.7529411764706,110.54182077918053,89.43137254901961,8.768705496162553,,
ecmwf_aifs025_ensemble,2026-09-21T09:00,51,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,277.5529411764706,39.61433252216261,302.2117647058824,101.8631211912512,87.07843137254902,8.375782082301097,,
ecmwf_aifs025_ensemble,2026-09-21T10:00,51,0.0,1.9607843137254901,0.0,,,,3.9215686274509802,0.0,0.0,0.0,0.0,0.0,399.5254901960784,48.19229333882029,328.2745098039215,94.48030661071597,83.2156862745098,8.73456060827377,,
ecmwf_aifs025_ensemble,2026-09-21T11:00,51,0.0,3.9215686274509802,0.0,,,,66.66666666666666,0.0,0.0,0.0,1.9607843137254901,0.0,512.521568627451,55.371611187414395,356.76862745098043,92.39471303098696,78.3529411764706,8.678302897253044,,
ecmwf_aifs025_ensemble,2026-09-21T12:00,51,0.0,7.8431372549019605,0.0,,,,92.15686274509804,1.9607843137254901,1.9607843137254901,0.0,1.9607843137254901,0.0,601.5137254901961,66.33605360468121,389.2196078431373,102.44697363925953,71.19607843137256,8.522956313024578,,
ecmwf_aifs025_ensemble,2026-09-21T13:00,51,0.0,49.01960784313725,0.0,,,,94.11764705882352,31.372549019607842,1.9607843137254901,0.0,7.8431372549019605,0.0,648.5,77.400470282809,423.1392156862745,118.99852785380392,61.23529411764706,9.852082491116521,,
ecmwf_aifs025_ensemble,2026-09-21T14:00,51,1.9607843137254901,78.43137254901961,0.0,,,,90.19607843137256,21.568627450980394,5.88235294117647,0.0,35.294117647058826,0.0,638.7333333333333,80.17750224761723,449.1803921568627,129.52884932648453,50.01960784313726,13.280798464065976,,
ecmwf_aifs025_ensemble,2026-09-21T15:00,51,41.17647058823529,84.31372549019608,0.0,,,,84.31372549019608,0.0,3.9215686274509802,0.0,43.13725490196079,0.0,565.9156862745098,69.16134288039531,449.99215686274516,122.48604466327951,38.705882352941174,17.44052076934294,,
ecmwf_aifs025_ensemble,2026-09-21T16:00,51,60.78431372549019,88.23529411764706,0.0,,,,1.9607843137254901,0.0,0.0,0.0,21.568627450980394,0.0,441.4039215686274,48.01530156433182,414.7843137254903,97.62074855797619,28.80392156862745,20.750922493077876,,
ecmwf_aifs025_ensemble,2026-09-21T17:00,51,72.54901960784314,92.15686274509804,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,287.1745098039216,26.692402238369294,338.2980392156863,66.51896117708417,21.529411764705884,22.290224710555496,,
ecmwf_aifs025_ensemble,2026-09-21T18:00,51,78.43137254901961,92.15686274509804,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,124.58823529411767,10.990880711914283,207.4529411764706,38.60310014981272,17.666666666666668,20.595792450562968,,
ecmwf_aifs025_ensemble,2026-09-21T19:00,51,80.3921568627451,98.0392156862745,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.92156862745098,18.291903276865312,,
ecmwf_aifs025_ensemble,2026-09-21T20:00,51,88.23529411764706,98.0392156862745,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.352941176470589,16.247859587541697,,
ecmwf_aifs025_ensemble,2026-09-21T21:00,51,92.15686274509804,98.0392156862745,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.705882352941176,15.82693162637289,,
ecmwf_aifs025_ensemble,2026-09-21T22:00,51,86.27450980392157,98.0392156862745,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.823529411764707,16.748380079700773,,
ecmwf_aifs025_ensemble,2026-09-21T23:00,51,84.31372549019608,98.0392156862745,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.588235294117647,17.450703677030603,,
ecmwf_aifs025_ensemble,2026-09-22T00:00,51,80.3921568627451,96.07843137254902,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.980392156862745,16.23020664819574,,
ecmwf_aifs025_ensemble,2026-09-22T01:00,51,78.43137254901961,96.07843137254902,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.705882352941178,14.873189459758871,,
ecmwf_aifs025_ensemble,2026-09-22T02:00,51,58.82352941176471,96.07843137254902,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.431372549019606,15.640019056204228,,
ecmwf_aifs025_ensemble,2026-09-22T03:00,51,41.17647058823529,88.23529411764706,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.745098039215684,18.462765921990023,,
ecmwf_aifs025_ensemble,2026-09-22T04:00,51,29.411764705882355,78.43137254901961,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.450980392156865,21.793864939923065,,
ecmwf_aifs025_ensemble,2026-09-22T05:00,51,27.450980392156865,78.43137254901961,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.15686274509804,23.620645671970614,,
ecmwf_aifs025_ensemble,2026-09-22T06:00,51,35.294117647058826,80.3921568627451,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.13725490196079,22.891937102694598,,
ecmwf_aifs025_ensemble,2026-09-22T07:00,51,39.21568627450981,84.31372549019608,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,40.076470588235296,4.374041071379836,0.0,0.0,35.431372549019606,20.508783388549194,,
ecmwf_aifs025_ensemble,2026-09-22T08:00,51,58.82352941176471,94.11764705882352,0.0,,,,0.0,0.0,68.62745098039215,1.9607843137254901,62.745098039215684,0.0,219.6843137254902,18.187010447558663,625.3274509803922,88.3799232369691,28.96078431372549,17.682715610803363,,
ecmwf_aifs025_ensemble,2026-09-22T09:00,51,72.54901960784314,96.07843137254902,0.0,,,,0.0,0.0,72.54901960784314,3.9215686274509802,86.27450980392157,5.88235294117647,393.2313725490197,30.24750892352015,639.8666666666667,89.51745677054654,21.96078431372549,15.832827649303487,,
