time_utc,cams_uv_biologically_effective_dose,cams_uv_biologically_effective_dose_clear_sky,cams_surface_downward_uv_radiation,source,cams_total_aerosol_optical_depth_at_340_nm,cams_total_aerosol_optical_depth_at_355_nm,cams_total_aerosol_optical_depth_at_380_nm,cams_total_aerosol_optical_depth_at_400_nm,cams_total_absorption_aerosol_optical_depth_at_340_nm,cams_total_absorption_aerosol_optical_depth_at_355_nm,cams_total_absorption_aerosol_optical_depth_at_380_nm,cams_total_absorption_aerosol_optical_depth_at_400_nm,cams_single_scattering_albedo_at_340_nm,cams_single_scattering_albedo_at_355_nm,cams_single_scattering_albedo_at_380_nm,cams_single_scattering_albedo_at_400_nm,cams_asymmetry_factor_at_340_nm,cams_asymmetry_factor_at_355_nm,cams_asymmetry_factor_at_380_nm,cams_asymmetry_factor_at_400_nm,cams_gems_total_column_ozone,cams_total_column_vertically_integrated_water_vapour,cams_total_column_cloud_liquid_water,cams_total_column_cloud_ice_water,cams_total_cloud_cover,cams_forecast_albedo,cams_surface_direct_normal_short_wave_solar_radiation,cams_surface_short_wave_solar_radiation_downwards,cams_cycle
2026-09-21 12:00:00+00:00,0.0008649145,0.0025952049,0.0,cams_direct_forecast,0.1636334,0.15991428,0.15332265,0.14774863,0.0047175875,0.004525217,0.0042231176,0.0039222655,0.9711257,0.9716597,0.9724154,0.9734146,0.73728645,0.73894125,0.74123186,0.7425945,0.005869414,39.58995,0.10091242,0.08353898,1.0,0.16587067,0.0,0.0,2026-09-21T12:00Z
2026-09-21 13:00:00+00:00,0.0023510526,0.016139891,19695.406,cams_direct_forecast,0.16618049,0.16252542,0.1560087,0.15046823,0.0050683673,0.004863675,0.0045420495,0.0042221155,0.969502,0.97007537,0.9708868,0.97194165,0.7391394,0.7409006,0.7433648,0.7448669,0.005862443,38.491318,0.37684494,0.07655501,1.0,0.16562521,34917.035,164892.44,2026-09-21T12:00Z
2026-09-21 14:00:00+00:00,0.008938511,0.045627452,81092.19,cams_direct_forecast,0.15446481,0.15122136,0.14538893,0.14038879,0.005456461,0.005239039,0.004896164,0.004553186,0.96465725,0.96533835,0.9663075,0.96755177,0.73845047,0.74030995,0.7429138,0.74451834,0.005859132,37.795197,0.28628758,0.04774157,1.0,0.16542178,45193.48,514498.8,2026-09-21T12:00Z
2026-09-21 15:00:00+00:00,0.015271742,0.086556464,152525.62,cams_direct_forecast,0.16040584,0.15718535,0.15134877,0.14630923,0.00649934,0.006245048,0.005843155,0.0054434077,0.9594624,0.9602512,0.9613761,0.96277857,0.73899406,0.7409944,0.7438108,0.74558735,0.005859042,37.045807,0.36528316,0.03430266,1.0,0.16530514,73276.56,1.052297e+06,2026-09-21T12:00Z
2026-09-21 16:00:00+00:00,0.022094816,0.12639003,259777.5,cams_direct_forecast,0.16928329,0.16586837,0.15968296,0.1543428,0.0076479428,0.007352897,0.0068876175,0.0064408146,0.95480746,0.9556563,0.9568542,0.9582569,0.7380018,0.74002326,0.74284655,0.74463326,0.0058617424,36.461044,0.35943967,0.053398985,1.0,0.16534996,216101.88,1.814509e+06,2026-09-21T12:00Z
2026-09-21 17:00:00+00:00,0.033569016,0.15070178,368385.38,cams_direct_forecast,0.17156115,0.1679816,0.16153845,0.15600847,0.008493696,0.008170992,0.007661771,0.0071768407,0.95050156,0.95136803,0.95258063,0.95400864,0.7351091,0.7370787,0.7397983,0.74151504,0.005875538,35.70201,0.2622342,0.06743997,1.0,0.16534996,295238.38,2.577475e+06,2026-09-21T12:00Z
2026-09-21 18:00:00+00:00,0.06181447,0.15020674,488016.7,cams_direct_forecast,0.16127656,0.15778726,0.15154375,0.14621578,0.009151257,0.008806436,0.008263648,0.0077616936,0.9432673,0.9441982,0.9454803,0.94692624,0.7272893,0.7290967,0.73149586,0.73297197,0.005919083,34.37622,0.12028587,0.029503461,1.0,0.16534996,353466.25,3.441371e+06,2026-09-21T12:00Z
2026-09-21 19:00:00+00:00,0.08563993,0.12533955,648878.44,cams_direct_forecast,0.15776148,0.1540856,0.14757733,0.14208375,0.010002436,0.009624429,0.009032992,0.008529397,0.93657964,0.9375204,0.93877304,0.9399504,0.7167161,0.71817434,0.7199303,0.7209013,0.005954794,33.108612,0.045230195,0.007022541,0.9485199,0.1653058,539187.1,4.58952e+06,2026-09-21T12:00Z
2026-09-21 20:00:00+00:00,0.064560115,0.08543676,821999.0,cams_direct_forecast,0.16682377,0.16284047,0.15582128,0.14992142,0.0108244885,0.010414265,0.009773043,0.0092445295,0.9350458,0.9359775,0.93721086,0.93826807,0.71264243,0.7139648,0.71548456,0.71628886,0.005983831,32.148712,0.033519283,0.0013613973,0.8598604,0.16537827,1.274874e+06,5.895952e+06,2026-09-21T12:00Z
2026-09-21 21:00:00+00:00,0.032427616,0.044993103,982415.6,cams_direct_forecast,0.17864004,0.17436254,0.16682708,0.16049917,0.011519656,0.011082504,0.010399739,0.009839455,0.93544656,0.93637204,0.93759286,0.93862563,0.7131536,0.71442395,0.7158559,0.71660364,0.0060080662,31.153397,0.039459594,0.001281677,0.84649044,0.16556644,2.38043e+06,7.23158e+06,2026-09-21T12:00Z
