date,day_overall_peak_0_100,day_absolute_peak_0_100,day_local_peak_0_100,day_atmospheric_peak_0_100,day_confidence_at_peak_0_100,best_30m_start,best_hour_start,best_hour_score_0_100,best_window_start,best_window_end,best_window_mean_0_100,peak_uv_index,peak_predicted_uva_wm2,peak_temperature_f,peak_precip_probability_pct,blocked_half_hours,day_status
2026-09-21,47.5,41.4,69.5,55.1,51.2,2026-09-21T15:00:00,2026-09-21T15:00:00,46.5,2026-09-21T14:00:00,2026-09-21T17:00:00,42.3,5.75,38.33,,,0,FAIR
2026-09-22,57.8,50.4,82.0,40.3,89.8,2026-09-22T13:30:00,2026-09-22T13:30:00,57.5,2026-09-22T11:30:00,2026-09-22T16:00:00,52.6,6.87,47.34,,,0,GOOD
2026-09-23,59.7,50.6,85.4,53.6,87.2,2026-09-23T13:30:00,2026-09-23T13:00:00,59.7,2026-09-23T11:30:00,2026-09-23T16:00:00,54.8,6.75,48.33,,,0,GOOD
2026-09-24,59.6,50.3,85.8,54.8,86.3,2026-09-24T13:30:00,2026-09-24T13:00:00,59.5,2026-09-24T11:30:00,2026-09-24T15:30:00,56.2,6.7,48.22,,,0,GOOD
2026-09-25,58.8,51.2,88.4,53.6,72.6,2026-09-25T13:00:00,2026-09-25T13:00:00,58.6,2026-09-25T11:30:00,2026-09-25T15:30:00,53.7,6.7,49.81,,,0,GOOD
2026-09-26,58.9,49.9,87.0,69.7,69.0,2026-09-26T14:00:00,2026-09-26T13:30:00,57.8,2026-09-26T12:00:00,2026-09-26T15:30:00,53.3,6.55,48.33,,,0,GOOD
2026-09-27,58.1,51.5,90.2,61.7,58.1,2026-09-27T13:00:00,2026-09-27T13:00:00,57.9,2026-09-27T11:30:00,2026-09-27T15:30:00,54.7,6.7,50.34,,,0,GOOD
2026-09-28,58.3,51.1,90.2,62.2,61.0,2026-09-28T13:00:00,2026-09-28T13:00:00,58.1,2026-09-28T11:30:00,2026-09-28T15:30:00,54.8,6.65,49.85,,,0,GOOD
2026-09-29,60.9,51.3,91.2,66.2,76.7,2026-09-29T13:00:00,2026-09-29T13:00:00,60.8,2026-09-29T11:30:00,2026-09-29T15:30:00,57.4,6.65,50.15,,,0,GOOD
2026-09-30,60.1,50.6,90.7,64.7,75.6,2026-09-30T13:00:00,2026-09-30T13:00:00,59.9,2026-09-30T11:30:00,2026-09-30T15:30:00,56.4,6.55,49.53,,,0,GOOD
2026-10-01,60.3,50.5,91.0,66.3,76.5,2026-10-01T13:00:00,2026-10-01T13:00:00,60.1,2026-10-01T11:30:00,2026-10-01T15:30:00,56.5,6.65,48.84,,,0,GOOD
2026-10-02,60.2,50.2,91.1,67.1,76.9,2026-10-02T13:00:00,2026-10-02T13:00:00,60.0,2026-10-02T11:30:00,2026-10-02T15:30:00,56.3,6.6,48.57,,,0,GOOD
2026-10-03,61.0,49.9,91.2,67.9,84.8,2026-10-03T13:00:00,2026-10-03T13:00:00,60.7,2026-10-03T11:30:00,2026-10-03T15:30:00,57.0,6.55,48.39,,,0,GOOD
2026-10-04,60.7,49.9,91.8,70.4,80.0,2026-10-04T13:00:00,2026-10-04T13:00:00,60.3,2026-10-04T11:30:00,2026-10-04T15:30:00,56.4,6.5,48.58,,,0,GOOD
