time,source,model,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,wet_bulb_temperature_2m,pressure_msl,surface_pressure,visibility,weather_code,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,precipitation_probability,precipitation,rain,showers,snowfall,wind_speed_10m,wind_direction_10m,wind_gusts_10m,uv_index,uv_index_clear_sky,sunshine_duration,is_day,cape,lifted_index,convective_inhibition,freezing_level_height,boundary_layer_height,total_column_integrated_water_vapour,evapotranspiration,et0_fao_evapotranspiration,vapour_pressure_deficit,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,terrestrial_radiation,shortwave_radiation_instant,direct_radiation_instant,diffuse_radiation_instant,direct_normal_irradiance_instant,terrestrial_radiation_instant,relative_humidity_925hPa,relative_humidity_850hPa,relative_humidity_700hPa,relative_humidity_500hPa,relative_humidity_300hPa,cloud_cover_925hPa,cloud_cover_850hPa,cloud_cover_700hPa,cloud_cover_500hPa,cloud_cover_300hPa,geopotential_height_925hPa,geopotential_height_850hPa,geopotential_height_700hPa,geopotential_height_500hPa,geopotential_height_300hPa,timezone,latitude_grid,longitude_grid,elevation_m,generationtime_ms,uv_transmission,uv_attenuation,clearness_index,clearness_index_instant,direct_fraction,diffuse_fraction,direct_fraction_instant,diffuse_fraction_instant,sunshine_fraction,ghi_balance_error,ghi_balance_error_instant,upper_air_rh_max,upper_air_cloud_max,sun_score_0_100,sun_score_evidence_weight,air__pm10,air__pm2_5,air__carbon_monoxide,air__carbon_dioxide,air__nitrogen_dioxide,air__sulphur_dioxide,air__ozone,air__methane,air__aerosol_optical_depth,air__dust,air__uv_index,air__uv_index_clear_sky,air__us_aqi,air__us_aqi_pm2_5,air__us_aqi_pm10,air__us_aqi_ozone,time_utc,sza,solar_elevation_deg,solar_azimuth_deg,clear_ghi,clear_dni,clear_dhi,ghi,dni,dhi,kt,cloud,temp_c,rh,pressure_kpa,aod55,cams_cycle,aod340,aod380,ozone_du,cams_forecast_albedo,albedo,predicted_uva_wm2,predicted_uvb_wm2,tan_calibration_tier,tan_score_absolute_0_100,absolute_tan_intensity_label,local_tan_score_0_100,atmospheric_quality_percentile_0_100,local_tan_label,ensemble_strong_sun_support_0_100,deterministic_agreement_0_100,sun_window_confidence_0_100,tan_forecast_confidence_0_100,uv_input_disagree,humidity_context_pct,wet_bulb_context_f,wind_context_mph,precipitation_context_probability_pct,skin_plane_standard,sun_compass,torso_lift_deg,sun_posture_guidance,outdoor_feasibility_0_100,outdoor_blocked,outdoor_block_reason,outdoor_flags,minimum_tan_temperature_f,overall_components_unblocked_0_100,overall_tan_opportunity_0_100,fitzpatrick_type,fitzpatrick_label,skin_response_note,personal_uv_risk_context,tan_window_rank_value
2026-09-26T15:00,deterministic,best_match,82.0,35,51.7,81.5,63.9,1010.2,1000.4,79199.48,1,42,0,0,36,0,0.0,0.0,0.0,0.0,7.2,219,6.9,5.7,5.7,3600.0,1,0.0,7.0,0.0,15977.69,1459.974,13.2,0.0,0.022,2.43,751.0,667.0,84.0,918.4,989.1,697.2,619.2,78.0,852.7,918.4,25,21,6,4,34,0,0,0,0,0,2529.528,4937.664,10305.118,19196.196,31638.938,America/Los_Angeles,34.03202,-118.52633,86.0,34.08241271972656,1.0,0.0,0.7592761095945809,0.7591463414634148,0.8881491344873502,0.1118508655126498,0.8881239242685026,0.11187607573149741,1.0,0.0,0.0,34.0,0.0,97.0,1.0,,,,,,,,,,,,,,,,,2026-09-26 22:00:00+00:00,47.569362807253306,42.430637192746694,228.65529416832248,629.5930335979396,748.3402050591534,124.69002408641649,751.0,918.4,84.0,0.7592761095945809,42,27.77777777777778,35,100.03999999999999,,2026-09-21T12:00Z,,,,,0.2,42.532,0.994,nasa_power_ml_plus_cams_spectral,43.7,moderate,76.4,77.2,good locally,59.1,30.0,48.9,48.9,False,35,63.9,7.2,0,horizontal environmental reference,SW,47.6,"sun 42° up (SW) — lay flat, or lift torso ~48° toward SW to face it",100.0,False,,,50.0,51.2,51.2,,not specified,Environmental scores are skin-type independent.,not personalized,51.2
2026-09-29T15:00,deterministic,best_match,88.2,18,39.4,85.0,61.1,1005.0,995.4,79199.48,0,0,0,0,0,1,0.0,0.0,0.0,0.0,6.5,218,5.8,5.2,5.2,3600.0,1,0.0,10.4,0.0,16830.708,1574.803,9.4,0.0,0.024,3.74,754.0,686.0,68.0,962.8,972.2,698.5,635.5,63.0,892.0,900.8,15,9,9,13,24,0,0,0,0,0,2414.698,4849.082,10252.625,19202.756,31570.148,America/Los_Angeles,34.03202,-118.52633,86.0,34.08241271972656,1.0,0.0,0.7755605842419255,0.7754218472468917,0.9098143236074271,0.09018567639257294,0.9098067287043665,0.0901932712956335,1.0,0.0,0.0,24.0,0.0,94.8,1.0,,,,,,,,,,,,,,,,,2026-09-29 22:00:00+00:00,48.64096431402932,41.35903568597068,227.95186609856532,614.5840911516965,743.2434688834784,123.46709418094252,754.0,962.8,68.0,0.7755605842419255,0,31.222222222222225,18,99.53999999999999,,2026-09-21T12:00Z,,,,,0.2,42.405,0.9245,nasa_power_ml_plus_cams_spectral,41.9,moderate,75.2,75.0,good locally,65.2,52.2,60.6,60.6,False,18,61.1,6.5,1,horizontal environmental reference,SW,48.6,"sun 41° up (SW) — lay flat, or lift torso ~49° toward SW to face it",99.8,False,,,50.0,51.2,51.1,,not specified,Environmental scores are skin-type independent.,not personalized,51.1
2026-09-28T15:00,deterministic,best_match,80.0,34,49.1,77.1,61.9,1006.3,996.5,79199.48,0,0,0,0,0,3,0.0,0.0,0.0,0.0,10.7,216,7.6,5.2,5.2,3600.0,1,0.0,9.0,0.0,16207.35,1066.273,10.0,0.0,0.023,2.3,754.0,682.0,72.0,951.0,977.9,699.0,632.3,66.8,881.7,906.7,22,16,12,6,16,0,0,0,0,0,2414.698,4826.116,10213.255,19130.578,31464.312,America/Los_Angeles,34.03202,-118.52633,86.0,34.08241271972656,1.0,0.0,0.7710399836384089,0.7709275394286974,0.9045092838196287,0.09549071618037135,0.9045779685264663,0.0955650929899857,1.0,0.0,-0.09999999999990905,22.0,0.0,94.3,1.0,,,,,,,,,,,,,,,,,2026-09-28 22:00:00+00:00,48.2841626550105,41.7158373449895,228.18459078858382,619.6142505643514,744.9764462220827,123.87957490457148,754.0,951.0,72.0,0.7710399836384089,0,26.666666666666668,34,99.65,,2026-09-21T12:00Z,,,,,0.2,42.409,0.9287,nasa_power_ml_plus_cams_spectral,41.9,moderate,74.4,72.6,typical-to-good locally,62.8,61.2,62.2,62.2,False,34,61.9,10.7,3,horizontal environmental reference,SW,48.3,"sun 42° up (SW) — lay flat, or lift torso ~48° toward SW to face it",99.2,False,,,50.0,51.2,50.8,,not specified,Environmental scores are skin-type independent.,not personalized,50.8
2026-10-03T15:00,deterministic,best_match,84.2,45,60.6,86.1,69.0,1005.2,995.5,79199.48,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7.4,213,9.4,5.05,5.05,3600.0,1,0.0,2.5,0.0,15518.373,1017.06,28.4,0.0,0.021,2.2,697.0,623.0,74.0,897.7,949.1,643.9,575.5,68.4,829.3,876.9,4,6,4,7,4,0,0,0,0,0,2411.417,4872.048,10351.05,19258.532,31813.564,America/Los_Angeles,34.03202,-118.52633,86.0,34.08241271972656,1.0,0.0,0.7343799388894742,0.734291253278595,0.8938307030129125,0.10616929698708752,0.8937723248951701,0.10622767510482996,1.0,0.0,0.0,7.0,0.0,92.8,1.0,,,,,,,,,,,,,,,,,2026-10-03 22:00:00+00:00,50.0608734824424,39.9391265175576,227.03639916091296,594.2476466631554,735.9743727873552,121.77169926434874,697.0,897.7,74.0,0.7343799388894742,0,29.000000000000004,45,99.55,,2026-09-21T12:00Z,,,,,0.2,39.733,0.8929,nasa_power_ml_plus_cams_spectral,39.9,moderate,74.0,73.2,typical-to-good locally,66.2,71.8,68.2,68.2,False,45,69.0,7.4,0,horizontal environmental reference,SW,50.1,"sun 40° up (SW) — lay flat, or lift torso ~50° toward SW to face it",100.0,False,,,50.0,50.4,50.4,,not specified,Environmental scores are skin-type independent.,not personalized,50.4
2026-10-02T15:00,deterministic,best_match,93.2,20,46.2,91.1,65.5,1001.0,991.5,79199.48,0,0,0,0,0,2,0.0,0.0,0.0,0.0,6.5,224,6.5,5.15,5.15,3600.0,1,0.0,7.4,0.0,16765.092,1377.953,23.2,0.0,0.024,4.25,709.0,640.0,69.0,916.1,954.9,655.5,591.7,63.8,846.9,882.9,6,8,7,6,6,0,0,0,0,0,2319.554,4786.746,10269.029,19225.722,31744.774,America/Los_Angeles,34.03202,-118.52633,86.0,34.08241271972656,1.0,0.0,0.7424861242014871,0.7424396873938158,0.9026798307475318,0.09732016925246827,0.9026697177726927,0.0973302822273074,1.0,0.0,0.0,8.0,0.0,93.6,1.0,,,,,,,,,,,,,,,,,2026-10-02 22:00:00+00:00,49.70727548171562,40.29272451828438,227.26310821336122,599.3591575451451,737.8417774815816,122.20209671851217,709.0,916.1,69.0,0.7424861242014871,0,34.0,20,99.15,,2026-09-21T12:00Z,,,,,0.2,39.951,0.9044,nasa_power_ml_plus_cams_spectral,40.3,moderate,74.2,73.4,typical-to-good locally,64.6,58.9,62.6,62.6,False,20,65.5,6.5,2,horizontal environmental reference,SW,49.7,"sun 40° up (SW) — lay flat, or lift torso ~50° toward SW to face it",99.5,False,,,50.0,50.1,49.8,,not specified,Environmental scores are skin-type independent.,not personalized,49.8
2026-09-30T15:00,deterministic,best_match,90.4,18,41.1,86.5,62.5,1004.7,995.1,79199.48,0,0,0,0,0,2,0.0,0.0,0.0,0.0,8.4,228,8.1,5.15,5.15,3600.0,1,0.0,8.6,0.0,16469.816,1624.016,15.8,0.0,0.025,4.0,732.0,662.0,70.0,935.1,966.4,677.7,612.9,64.8,865.8,894.9,10,24,47,7,6,0,0,0,0,0,2411.417,4858.924,10291.995,19219.16,31670.688,America/Los_Angeles,34.03202,-118.52633,86.0,34.08241271972656,1.0,0.0,0.7574503311258278,0.7572913174656387,0.9043715846994536,0.09562841530054644,0.9043824701195218,0.09561752988047807,1.0,0.0,1.1368683772161603e-13,47.0,0.0,94.0,1.0,,,,,,,,,,,,,,,,,2026-09-30 22:00:00+00:00,48.997178565471216,41.002821434528784,227.72076717003137,609.5298912149279,741.4765742333509,123.04993395681834,732.0,935.1,70.0,0.7574503311258278,0,32.44444444444445,18,99.51,,2026-09-21T12:00Z,,,,,0.2,40.815,0.9162,nasa_power_ml_plus_cams_spectral,40.8,moderate,73.8,71.7,typical-to-good locally,63.6,46.1,57.5,57.5,False,18,62.5,8.4,2,horizontal environmental reference,SW,49.0,"sun 41° up (SW) — lay flat, or lift torso ~49° toward SW to face it",99.5,False,,,50.0,49.7,49.4,,not specified,Environmental scores are skin-type independent.,not personalized,49.4
2026-09-22T15:00,deterministic,best_match,70.9,80,64.4,71.4,66.4,1011.4,1001.4,53477.692,1,20,23,0,0,0,0.0,0.0,0.0,0.0,13.6,260,16.6,5.55,5.85,3600.0,1,0.0,1.7,0.0,14337.271,1525.591,27.2,0.0,0.014,0.52,664.9,446.2,218.8,599.5,1011.0,619.1,415.4,203.7,558.1,941.3,64,41,34,7,12,0,0,0,0,0,2532.808,4927.822,10275.591,19055.12,31284.394,America/Los_Angeles,34.03202,-118.52633,86.0,34.08241271972656,0.9487179487179488,0.05128205128205121,0.6576656775469831,0.6577074259003506,0.6710783576477666,0.3290720409084073,0.670973994508157,0.32902600549184297,1.0,-0.10000000000002274,1.1368683772161603e-13,64.0,0.0,83.3,1.0,24.0,18.3,115.0,436.0,7.2,5.6,113.0,1367.0,0.23,3.0,4.3,4.3,73.0,73.0,23.0,27.0,2026-09-22 22:00:00+00:00,46.138911668506104,43.861088331493896,229.6204761180379,649.1619827561732,754.6582828205164,126.24996446153159,664.9,599.5,218.8,0.6576656775469831,20,21.611111111111114,80,100.14,0.23,2026-09-21T12:00Z,0.32012892,0.29850465,287.58463,0.16519737,0.16519737,38.067,0.9047,nasa_power_ml_plus_cams_spectral,40.6,moderate,68.6,52.8,typical-to-good locally,71.9,76.2,73.4,73.4,False,80,66.4,13.6,0,horizontal environmental reference,SW,46.1,"sun 44° up (SW) — lay flat, or lift torso ~46° toward SW to face it",100.0,False,,,50.0,49.3,49.3,,not specified,Environmental scores are skin-type independent.,not personalized,49.3
2026-10-01T15:00,deterministic,best_match,96.1,19,47.2,93.3,66.9,1000.2,990.7,79199.48,0,0,0,0,0,2,0.0,0.0,0.0,0.0,8.5,225,11.2,5.2,5.2,3600.0,1,0.0,5.6,0.0,16765.092,3067.585,24.2,0.0,0.026,4.7,711.0,641.0,70.0,911.4,960.7,657.8,593.0,64.8,843.2,888.9,17,30,50,4,12,0,0,0,0,0,2309.712,4776.903,10239.501,19192.914,31739.48,America/Los_Angeles,34.03202,-118.52633,86.0,34.08241271972656,1.0,0.0,0.7400853544290621,0.7400157498031275,0.9015471167369902,0.09845288326300984,0.9014898145332929,0.09851018546670721,1.0,0.0,0.0,50.0,0.0,93.7,1.0,,,,,,,,,,,,,,,,,2026-10-01 22:00:00+00:00,49.35266313513856,40.64733686486144,227.4912074465435,604.4540836413503,739.6759357015857,122.62822271628744,711.0,911.4,70.0,0.7400853544290621,0,35.61111111111111,19,99.07000000000001,,2026-09-21T12:00Z,,,,,0.2,40.008,0.9153,nasa_power_ml_plus_cams_spectral,40.5,moderate,74.1,72.6,typical-to-good locally,65.1,43.0,57.4,57.4,False,19,66.9,8.5,2,horizontal environmental reference,SW,49.4,"sun 41° up (SW) — lay flat, or lift torso ~49° toward SW to face it",99.5,False,,,50.0,49.5,49.3,,not specified,Environmental scores are skin-type independent.,not personalized,49.3
2026-09-25T15:00,deterministic,best_match,80.9,49,60.0,82.3,67.5,1010.3,1000.5,75328.088,3,100,0,0,100,0,0.0,0.0,0.0,0.0,8.5,215,7.4,5.55,5.7,3600.0,1,0.0,2.6,0.0,15551.182,1394.357,20.9,0.0,0.02,1.84,712.0,548.0,164.0,749.9,994.7,661.5,509.1,152.4,696.7,924.2,37,24,24,31,100,0,0,0,0,66,2532.808,4954.069,10331.365,19189.632,31506.646,America/Los_Angeles,34.03202,-118.52633,86.0,34.08241271972656,0.9736842105263157,0.026315789473684292,0.7157937066452197,0.7157541657649859,0.7696629213483146,0.2303370786516854,0.7696145124716554,0.23038548752834467,1.0,0.0,0.0,100.0,66.0,90.2,1.0,29.5,23.0,122.0,439.0,10.0,6.7,104.0,1373.0,0.11,2.0,4.45,4.6,84.0,84.0,29.0,24.0,2026-09-25 22:00:00+00:00,47.2116459235988,42.7883540764012,228.89347004038632,634.5371082959971,749.9708802244062,125.0877747509648,712.0,749.9,164.0,0.7157937066452197,100,27.16666666666667,49,100.05,0.11,2026-09-21T12:00Z,0.14761078,0.13621971,291.54678,0.16340983,0.16340983,40.724,0.93,nasa_power_ml_plus_cams_spectral,42.1,moderate,72.8,66.8,typical-to-good locally,57.9,37.1,50.6,50.6,False,49,67.5,8.5,0,horizontal environmental reference,SW,47.2,"sun 43° up (SW) — lay flat, or lift torso ~47° toward SW to face it",100.0,False,,,50.0,49.2,49.2,,not specified,Environmental scores are skin-type independent.,not personalized,49.2
2026-09-25T12:00,deterministic,best_match,81.3,48,59.7,84.4,67.5,1012.0,1002.2,79199.48,3,100,0,0,100,0,0.0,0.0,0.0,0.0,4.8,193,2.0,5.75,6.2,3600.0,1,0.0,2.4,0.0,15387.14,1574.803,22.7,0.0,0.02,1.9,719.0,479.0,240.0,621.1,1049.0,747.5,498.0,249.5,645.7,1090.7,40,26,33,14,72,0,0,0,0,0,2575.459,4983.596,10357.611,19192.914,31517.228,America/Los_Angeles,34.03202,-118.52633,86.0,34.08241271972656,0.9274193548387096,0.07258064516129037,0.6854146806482364,0.6853396901072706,0.6662030598052852,0.3337969401947149,0.6662207357859532,0.3337792642140468,1.0,0.0,0.0,72.0,0.0,87.7,1.0,30.3,24.2,141.0,446.0,17.9,7.2,82.0,1387.0,0.13,2.0,7.6,7.6,84.0,84.0,30.0,9.0,2026-09-25 19:00:00+00:00,36.716706364770985,53.283293635229015,160.66303937156977,776.3735102052868,797.7680250322248,136.8815811756332,719.0,621.1,240.0,0.6854146806482364,100,27.38888888888889,48,100.22,0.13,2026-09-21T12:00Z,0.16131882,0.1490281,290.23422,0.16287297,0.16287297,44.009,1.2306,nasa_power_ml_plus_cams_spectral,44.7,moderate,77.3,23.9,good locally,90.2,36.8,71.5,71.5,False,48,67.5,4.8,0,horizontal environmental reference,SSE,36.7,"sun 53° up (SSE) — lay flat, or lift torso ~37° toward SSE to face it",100.0,False,,,50.0,48.9,48.9,,not specified,Environmental scores are skin-type independent.,not personalized,48.9
