time,source,model,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,wet_bulb_temperature_2m,pressure_msl,surface_pressure,visibility,weather_code,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,precipitation_probability,precipitation,rain,showers,snowfall,wind_speed_10m,wind_direction_10m,wind_gusts_10m,uv_index,uv_index_clear_sky,sunshine_duration,is_day,cape,lifted_index,convective_inhibition,freezing_level_height,boundary_layer_height,total_column_integrated_water_vapour,evapotranspiration,et0_fao_evapotranspiration,vapour_pressure_deficit,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,terrestrial_radiation,shortwave_radiation_instant,direct_radiation_instant,diffuse_radiation_instant,direct_normal_irradiance_instant,terrestrial_radiation_instant,relative_humidity_925hPa,relative_humidity_850hPa,relative_humidity_700hPa,relative_humidity_500hPa,relative_humidity_300hPa,cloud_cover_925hPa,cloud_cover_850hPa,cloud_cover_700hPa,cloud_cover_500hPa,cloud_cover_300hPa,geopotential_height_925hPa,geopotential_height_850hPa,geopotential_height_700hPa,geopotential_height_500hPa,geopotential_height_300hPa,timezone,latitude_grid,longitude_grid,elevation_m,generationtime_ms,uv_transmission,uv_attenuation,clearness_index,clearness_index_instant,direct_fraction,diffuse_fraction,direct_fraction_instant,diffuse_fraction_instant,sunshine_fraction,ghi_balance_error,ghi_balance_error_instant,upper_air_rh_max,upper_air_cloud_max,sun_score_0_100,sun_score_evidence_weight,air__pm10,air__pm2_5,air__carbon_monoxide,air__carbon_dioxide,air__nitrogen_dioxide,air__sulphur_dioxide,air__ozone,air__methane,air__aerosol_optical_depth,air__dust,air__uv_index,air__uv_index_clear_sky,air__us_aqi,air__us_aqi_pm2_5,air__us_aqi_pm10,air__us_aqi_ozone,p_cloud_lt_30,p_cloud_lt_60,p_precip_gt_0_01in,p_uv_ge_3,p_uv_ge_5,p_uv_ge_6,p_ghi_instant_ge_500,p_ghi_instant_ge_700,p_dni_instant_ge_600,p_dni_instant_ge_800,p_sun_score_ge_70,p_sun_score_ge_85,deterministic_agreement_0_100,ensemble_strong_sun_support_0_100,sun_window_confidence_0_100
2026-09-29T13:00,deterministic,best_match,89.3,15,35.6,87.3,60.1,1006.1,996.5,79199.48,0,0,0,0,0,1,0.0,0.0,0.0,0.0,5.1,203,3.6,6.65,6.65,3600.0,1,0.0,11.7,0.0,16830.708,1820.866,9.4,0.0,0.026,4.01,860.0,786.0,74.0,985.1,1088.0,862.1,787.9,74.2,987.5,1090.8,15,11,10,13,22,0,0,0,0,0,2434.383,4862.205,10262.467,19212.598,31580.73,America/Los_Angeles,34.03202,-118.52633,86.0,34.08241271972656,1.0,0.0,0.7904411764705882,0.7903373670700404,0.913953488372093,0.08604651162790698,0.9139310984804546,0.0860689015195453,1.0,0.0,0.0,22.0,0.0,99.0,1.0,,,,,,,,,,,,,,,,,87.9506641366224,91.87223276407337,1.4705882352941175,,,,95.00316255534472,88.69913556820579,88.04554079696395,44.7606999789163,91.08159392789373,80.01265022137888,51.5,90.6,76.9
2026-09-29T14:00,deterministic,best_match,88.7,17,38.3,86.4,60.8,1005.6,996.0,79199.48,0,0,0,0,0,1,0.0,0.0,0.0,0.0,6.0,211,4.5,6.35,6.35,3600.0,1,0.0,11.0,0.0,16863.518,1853.675,9.5,0.0,0.026,3.83,840.0,765.0,75.0,977.3,1067.7,812.0,739.5,72.5,944.6,1032.2,15,10,10,13,22,0,0,0,0,0,2424.541,4858.924,10255.905,19206.038,31575.438,America/Los_Angeles,34.03202,-118.52633,86.0,34.08241271972656,1.0,0.0,0.7867378477100309,0.7866692501453206,0.9107142857142857,0.08928571428571429,0.9107142857142857,0.08928571428571429,1.0,0.0,0.0,22.0,0.0,98.9,1.0,,,,,,,,,,,,,,,,,88.61480075901329,91.87223276407337,1.4705882352941175,,,,95.00316255534472,87.39194602572212,87.39194602572212,16.824794433902593,90.4279991566519,76.32300231920725,52.1,90.0,76.7
2026-09-29T12:00,deterministic,best_match,89.6,14,34.1,87.3,59.6,1006.6,997.0,79199.48,0,0,0,0,0,1,0.0,0.0,0.0,0.0,3.9,193,2.9,6.25,6.25,3600.0,1,0.0,12.4,0.0,16797.9,1624.016,9.2,0.0,0.024,4.09,811.0,740.0,71.0,977.7,1031.8,843.0,769.2,73.8,1016.3,1072.6,15,11,10,13,20,0,0,0,0,0,2440.945,4868.767,10265.748,19219.16,31591.312,America/Los_Angeles,34.03202,-118.52633,86.0,34.08241271972656,1.0,0.0,0.786005039736383,0.7859407048293866,0.9124537607891492,0.08754623921085081,0.9124555160142349,0.08754448398576511,1.0,0.0,0.0,20.0,0.0,98.9,1.0,,,,,,,,,,,,,,,,,87.9506641366224,90.89184060721063,1.4705882352941175,,,,95.00316255534472,88.04554079696395,88.69913556820579,56.061564410710524,91.08159392789373,81.08791903858317,50.8,90.4,76.5
2026-09-27T12:00,deterministic,best_match,79.2,41,53.5,79.9,63.6,1011.8,1001.9,79199.48,0,0,0,0,0,1,0.0,0.0,0.0,0.0,7.1,204,5.1,6.3,6.3,3600.0,1,0.0,5.8,0.0,15288.714,2001.312,12.9,0.0,0.022,2.01,806.0,730.0,76.0,955.3,1040.5,837.8,758.8,79.0,993.1,1081.8,31,16,7,7,18,0,0,0,0,0,2549.213,4931.103,10282.152,19137.138,31469.606,America/Los_Angeles,34.03202,-118.52633,86.0,34.08241271972656,1.0,0.0,0.77462758289284,0.7744499907561472,0.9057071960297767,0.09429280397022333,0.9057054189544044,0.09429458104559561,1.0,0.0,0.0,31.0,0.0,98.8,1.0,,,,,,,,,,,,,,,,,63.04554079696395,77.83048703352308,0.9803921568627451,,,,94.11764705882354,71.28399746995571,71.28399746995571,29.306346194391732,75.2055660974067,54.5224541429475,24.7,76.8,58.6
2026-09-27T13:00,deterministic,best_match,78.9,42,53.8,79.5,63.6,1011.1,1001.2,79199.48,0,0,0,0,0,1,0.0,0.0,0.0,0.0,8.4,212,6.9,6.7,6.7,3600.0,1,0.0,5.9,0.0,15255.905,2017.717,13.2,0.0,0.024,1.95,854.0,774.0,80.0,960.5,1097.6,856.4,776.2,80.2,963.2,1100.8,29,15,8,7,24,0,0,0,0,0,2532.808,4917.979,10269.029,19130.578,31464.312,America/Los_Angeles,34.03202,-118.52633,86.0,34.08241271972656,1.0,0.0,0.778061224489796,0.7779796511627907,0.9063231850117096,0.0936768149882904,0.9063521718822981,0.09364782811770202,1.0,0.0,-1.1368683772161603e-13,29.0,0.0,98.8,1.0,,,,,,,,,,,,,,,,,59.471853257432,78.63693864642632,0.9803921568627451,,,,91.50326797385621,72.59118701243938,68.01602361374657,21.779464473961625,75.85916086864853,55.63989036474805,24.8,76.2,58.2
2026-09-26T14:00,deterministic,best_match,82.2,36,52.6,83.1,64.4,1011.0,1001.2,79199.48,0,9,0,0,5,0,0.0,0.0,0.0,0.0,6.7,217,5.1,6.55,6.6,3600.0,1,0.0,6.9,0.0,15912.073,1574.803,13.9,0.0,0.024,2.4,834.0,752.0,82.0,945.2,1083.3,807.1,727.7,79.4,914.7,1048.5,27,22,6,4,38,0,0,0,0,0,2552.494,4957.349,10321.522,19209.318,31649.524,America/Los_Angeles,34.03202,-118.52633,86.0,34.08241271972656,0.9924242424242424,0.007575757575757569,0.7698698421489892,0.7697663328564617,0.9016786570743405,0.09832134292565947,0.9016230950315947,0.09837690496840541,1.0,0.0,0.0,38.0,0.0,98.7,1.0,,,,,,,,,,,,,,,,,56.13535736875395,68.50094876660341,0.0,,,,100.0,94.34956778410289,93.04237824161923,2.804132405650432,97.61754164031204,55.998313303816154,32.4,89.6,69.6
2026-09-27T14:00,deterministic,best_match,78.6,43,54.2,78.8,63.7,1010.4,1000.5,79199.48,0,0,0,0,0,1,0.0,0.0,0.0,0.0,9.1,216,8.3,6.35,6.35,3600.0,1,0.0,6.0,0.0,15255.905,1952.1,13.5,0.0,0.023,1.9,833.0,752.0,81.0,950.2,1078.2,805.8,727.5,78.4,919.2,1043.1,28,15,8,9,28,0,0,0,0,0,2516.404,4901.575,10255.905,19120.734,31464.312,America/Los_Angeles,34.03202,-118.52633,86.0,34.08241271972656,1.0,0.0,0.7725839361899461,0.7725050330744895,0.9027611044417767,0.09723889555822329,0.9028294862248697,0.09729461404815092,1.0,0.0,-0.10000000000002274,28.0,0.0,98.7,1.0,,,,,,,,,,,,,,,,,59.64579380139153,74.92093611638204,0.9803921568627451,,,,89.12080961416825,66.94075479654227,66.94075479654227,5.186590765338393,73.89837655492305,49.60995150748471,26.5,73.3,56.9
2026-09-24T13:00,deterministic,best_match,80.8,52,61.5,83.9,68.2,1011.1,1001.3,6102.363,0,0,0,0,0,0,0.0,0.0,0.0,0.0,8.8,216,5.4,6.8,6.8,3600.0,1,160.0,0.0,234.0,14009.187,1591.207,23.4,0.0,0.023,1.72,841.0,758.0,83.0,927.3,1111.5,843.8,760.6,83.3,930.4,1115.4,40,32,29,9,10,0,0,0,0,0,2549.213,4963.911,10351.05,19146.982,31374.356,America/Los_Angeles,34.03202,-118.52633,86.0,34.08241271972656,1.0,0.0,0.7566351776878093,0.7564999103460641,0.901307966706302,0.09869203329369798,0.901398435648258,0.09872007584735719,1.0,0.0,-0.10000000000002274,40.0,0.0,98.6,1.0,35.6,28.6,132.0,444.0,23.4,8.5,96.0,1382.0,0.19,3.0,7.45,7.45,86.0,86.0,30.0,13.0,95.09803921568627,99.01960784313725,0.0,,,,100.0,100.0,98.03921568627452,0.0,99.34640522875816,73.01286105840185,61.3,99.1,85.9
2026-09-28T13:00,deterministic,best_match,81.2,29,45.9,79.8,61.1,1007.6,997.8,79199.48,0,0,0,0,0,3,0.0,0.0,0.0,0.0,8.1,222,4.9,6.65,6.65,3600.0,1,0.0,9.4,0.0,15977.69,1624.016,9.3,0.0,0.025,2.58,862.0,787.0,75.0,981.4,1092.9,864.3,789.1,75.2,984.0,1095.8,22,16,12,6,14,0,0,0,0,0,2444.226,4842.52,10223.098,19127.296,31437.854,America/Los_Angeles,34.03202,-118.52633,86.0,34.08241271972656,1.0,0.0,0.7887272394546618,0.7887388209527286,0.9129930394431555,0.08700696055684455,0.9129931736665511,0.08700682633344904,1.0,0.0,-1.1368683772161603e-13,22.0,0.0,98.6,1.0,,,,,,,,,,,,,,,,,83.22264389626818,87.9506641366224,2.450980392156863,,,,91.96710942441491,86.08475648323845,83.47037739827114,41.91440016866962,86.73835125448029,74.55197132616487,58.6,87.3,77.3
2026-09-30T13:00,deterministic,best_match,89.1,16,37.1,86.2,60.6,1006.0,996.4,79199.48,0,0,0,0,0,2,0.0,0.0,0.0,0.0,7.0,222,4.9,6.55,6.55,3600.0,1,0.0,10.2,0.0,16601.051,1427.165,15.1,0.0,0.027,3.94,838.0,765.0,73.0,963.6,1083.2,839.9,766.7,73.2,965.8,1085.7,10,18,48,7,8,0,0,0,0,0,2437.664,4875.328,10301.837,19238.846,31670.688,America/Los_Angeles,34.03202,-118.52633,86.0,34.08241271972656,1.0,0.0,0.7736336779911374,0.7736022842405821,0.9128878281622912,0.08711217183770883,0.9128467674723182,0.08715323252768187,1.0,0.0,-1.1368683772161603e-13,48.0,0.0,98.6,1.0,,,,,,,,,,,,,,,,,82.44781783681213,90.57558507273878,0.0,,,,96.31035209782839,90.65991988193127,90.65991988193127,32.61648745519713,90.65991988193127,77.81994518237401,47.0,92.0,76.2
