time_utc,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SRF_ALB,AOD_55,CLOUD_AMT,SZA,T2M,RH2M,PS,source,latitude_request,longitude_request
2012-01-01 00:00:00+00:00,1.45,0.01,0.03,34.55,203.74,22.35,41.38,0.4,0.19,0.03,40.22,86.46,18.85,47.67,99.43,nasa_power_ceres_merra2,34.04,-118.53
2012-01-01 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,39.69,90.0,16.44,53.99,99.47,nasa_power_ceres_merra2,34.04,-118.53
2012-01-01 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,20.54,90.0,15.81,51.29,99.53,nasa_power_ceres_merra2,34.04,-118.53
2012-01-01 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,15.15,90.0,15.61,47.85,99.58,nasa_power_ceres_merra2,34.04,-118.53
2012-01-01 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,3.87,90.0,15.59,44.79,99.62,nasa_power_ceres_merra2,34.04,-118.53
2012-01-01 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,6.59,90.0,15.26,44.21,99.66,nasa_power_ceres_merra2,34.04,-118.53
2012-01-01 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,1.83,90.0,14.99,44.25,99.69,nasa_power_ceres_merra2,34.04,-118.53
2012-01-01 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,7.7,90.0,14.95,43.63,99.72,nasa_power_ceres_merra2,34.04,-118.53
2012-01-01 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,9.96,90.0,14.82,43.06,99.75,nasa_power_ceres_merra2,34.04,-118.53
2012-01-01 09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,12.26,90.0,14.48,43.54,99.77,nasa_power_ceres_merra2,34.04,-118.53
2012-01-01 10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,12.78,90.0,14.19,44.27,99.78,nasa_power_ceres_merra2,34.04,-118.53
2012-01-01 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,13.9,90.0,13.92,44.46,99.79,nasa_power_ceres_merra2,34.04,-118.53
2012-01-01 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,15.68,90.0,13.72,44.04,99.82,nasa_power_ceres_merra2,34.04,-118.53
2012-01-01 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,17.22,90.0,13.56,43.38,99.86,nasa_power_ceres_merra2,34.04,-118.53
2012-01-01 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,17.76,90.0,13.41,43.11,99.93,nasa_power_ceres_merra2,34.04,-118.53
2012-01-01 15:00:00+00:00,1.99,0.01,0.03,51.45,343.52,21.42,55.5,0.48,0.19,0.03,14.11,85.6,13.69,42.06,100.01,nasa_power_ceres_merra2,34.04,-118.53
2012-01-01 16:00:00+00:00,9.88,0.06,0.28,228.32,770.58,44.35,238.15,0.66,0.19,0.03,8.83,75.77,15.28,38.9,100.09,nasa_power_ceres_merra2,34.04,-118.53
2012-01-01 17:00:00+00:00,19.03,0.2,1.02,389.33,853.34,63.74,402.27,0.72,0.15,0.03,8.27,67.43,17.85,36.18,100.12,nasa_power_ceres_merra2,34.04,-118.53
2012-01-01 18:00:00+00:00,26.93,0.4,1.98,516.78,967.64,60.64,520.3,0.76,0.17,0.03,3.29,61.27,20.59,31.34,100.08,nasa_power_ceres_merra2,34.04,-118.53
2012-01-01 19:00:00+00:00,30.18,0.51,2.53,564.6,904.46,92.55,579.58,0.76,0.15,0.03,12.08,58.01,22.97,24.62,99.97,nasa_power_ceres_merra2,34.04,-118.53
2012-01-01 20:00:00+00:00,30.02,0.51,2.53,562.28,896.65,93.25,577.8,0.76,0.16,0.03,11.37,58.16,24.14,22.07,99.86,nasa_power_ceres_merra2,34.04,-118.53
2012-01-01 21:00:00+00:00,26.35,0.39,1.92,511.52,982.05,54.29,513.22,0.77,0.18,0.03,2.29,61.68,24.36,22.66,99.79,nasa_power_ceres_merra2,34.04,-118.53
2012-01-01 22:00:00+00:00,18.49,0.2,1.0,385.55,895.18,50.97,389.83,0.73,0.19,0.03,3.1,68.04,24.11,24.11,99.78,nasa_power_ceres_merra2,34.04,-118.53
2012-01-01 23:00:00+00:00,9.18,0.05,0.25,217.68,814.99,36.23,221.73,0.66,0.2,0.03,3.91,76.53,23.03,32.87,99.8,nasa_power_ceres_merra2,34.04,-118.53
2012-01-02 00:00:00+00:00,1.61,0.01,0.03,42.05,324.03,17.34,43.12,0.47,0.2,0.03,4.72,86.35,20.38,40.66,99.84,nasa_power_ceres_merra2,34.04,-118.53
2012-01-02 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,5.5,90.0,17.45,49.34,99.89,nasa_power_ceres_merra2,34.04,-118.53
2012-01-02 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,4.97,90.0,15.94,53.29,99.96,nasa_power_ceres_merra2,34.04,-118.53
2012-01-02 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,4.44,90.0,15.56,50.12,100.02,nasa_power_ceres_merra2,34.04,-118.53
2012-01-02 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,6.27,90.0,15.72,43.99,100.06,nasa_power_ceres_merra2,34.04,-118.53
2012-01-02 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,26.73,90.0,16.02,39.82,100.08,nasa_power_ceres_merra2,34.04,-118.53
2012-01-02 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,42.87,90.0,16.22,37.24,100.08,nasa_power_ceres_merra2,34.04,-118.53
2012-01-02 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.02,19.24,90.0,16.03,36.28,100.07,nasa_power_ceres_merra2,34.04,-118.53
2012-01-02 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.02,18.78,90.0,15.79,36.93,100.05,nasa_power_ceres_merra2,34.04,-118.53
2012-01-02 09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.02,19.94,90.0,15.48,38.48,100.05,nasa_power_ceres_merra2,34.04,-118.53
2012-01-02 10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.02,17.65,90.0,14.99,40.65,100.03,nasa_power_ceres_merra2,34.04,-118.53
2012-01-02 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.02,14.97,90.0,14.5,42.34,100.02,nasa_power_ceres_merra2,34.04,-118.53
2012-01-02 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.02,14.96,90.0,14.04,43.52,100.03,nasa_power_ceres_merra2,34.04,-118.53
2012-01-02 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.02,18.5,90.0,13.61,43.94,100.05,nasa_power_ceres_merra2,34.04,-118.53
2012-01-02 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.02,18.35,90.0,13.36,42.81,100.1,nasa_power_ceres_merra2,34.04,-118.53
2012-01-02 15:00:00+00:00,1.98,0.01,0.03,52.88,402.44,19.76,57.3,0.49,0.19,0.02,15.28,85.62,13.57,41.22,100.16,nasa_power_ceres_merra2,34.04,-118.53
2012-01-02 16:00:00+00:00,9.79,0.06,0.28,229.25,784.53,45.0,243.57,0.66,0.19,0.02,14.3,75.78,14.93,39.1,100.25,nasa_power_ceres_merra2,34.04,-118.53
2012-01-02 17:00:00+00:00,19.19,0.22,1.1,396.25,906.63,57.17,411.58,0.73,0.2,0.02,12.36,67.41,17.06,37.84,100.28,nasa_power_ceres_merra2,34.04,-118.53
2012-01-02 18:00:00+00:00,27.02,0.42,2.08,522.33,1005.96,57.94,531.5,0.77,0.19,0.02,10.37,61.23,19.46,34.23,100.23,nasa_power_ceres_merra2,34.04,-118.53
