time_utc,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SRF_ALB,AOD_55,CLOUD_AMT,SZA,T2M,RH2M,PS,source,latitude_request,longitude_request
2007-01-01 00:00:00+00:00,1.49,0.01,0.03,35.85,231.34,18.02,38.75,0.41,0.2,0.04,15.0,86.43,12.6,78.26,99.93,nasa_power_ceres_merra2,34.04,-118.53
2007-01-01 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.04,14.32,90.0,11.82,81.72,99.95,nasa_power_ceres_merra2,34.04,-118.53
2007-01-01 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.04,15.3,90.0,11.56,82.21,99.97,nasa_power_ceres_merra2,34.04,-118.53
2007-01-01 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,70.28,90.0,10.93,84.15,99.99,nasa_power_ceres_merra2,34.04,-118.53
2007-01-01 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,69.55,90.0,10.18,85.26,99.98,nasa_power_ceres_merra2,34.04,-118.53
2007-01-01 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,30.51,90.0,9.44,85.26,99.96,nasa_power_ceres_merra2,34.04,-118.53
2007-01-01 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,11.21,90.0,8.54,86.42,99.92,nasa_power_ceres_merra2,34.04,-118.53
2007-01-01 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,8.02,90.0,8.01,86.56,99.86,nasa_power_ceres_merra2,34.04,-118.53
2007-01-01 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,11.86,90.0,7.44,87.34,99.82,nasa_power_ceres_merra2,34.04,-118.53
2007-01-01 09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,49.41,90.0,7.24,86.97,99.81,nasa_power_ceres_merra2,34.04,-118.53
2007-01-01 10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,32.42,90.0,7.05,87.92,99.78,nasa_power_ceres_merra2,34.04,-118.53
2007-01-01 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,14.0,90.0,6.92,88.67,99.74,nasa_power_ceres_merra2,34.04,-118.53
2007-01-01 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.02,6.14,90.0,6.97,88.35,99.71,nasa_power_ceres_merra2,34.04,-118.53
2007-01-01 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.02,6.66,90.0,7.17,88.09,99.72,nasa_power_ceres_merra2,34.04,-118.53
2007-01-01 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.02,6.65,90.0,7.29,88.0,99.72,nasa_power_ceres_merra2,34.04,-118.53
2007-01-01 15:00:00+00:00,2.0,0.01,0.03,52.4,384.54,17.35,54.5,0.49,0.21,0.02,6.57,85.61,7.79,84.3,99.73,nasa_power_ceres_merra2,34.04,-118.53
2007-01-01 16:00:00+00:00,9.98,0.05,0.28,231.62,815.19,35.25,236.57,0.67,0.21,0.02,3.88,75.77,9.58,73.35,99.75,nasa_power_ceres_merra2,34.04,-118.53
2007-01-01 17:00:00+00:00,19.49,0.2,1.02,398.35,931.18,44.93,402.65,0.74,0.19,0.02,2.42,67.43,12.6,56.53,99.77,nasa_power_ceres_merra2,34.04,-118.53
2007-01-01 18:00:00+00:00,27.33,0.39,1.95,522.3,994.83,47.66,522.88,0.77,0.19,0.02,0.96,61.26,15.99,40.12,99.75,nasa_power_ceres_merra2,34.04,-118.53
2007-01-01 19:00:00+00:00,30.96,0.5,2.5,576.7,969.28,66.57,584.62,0.77,0.16,0.02,6.76,58.0,17.73,35.65,99.65,nasa_power_ceres_merra2,34.04,-118.53
2007-01-01 20:00:00+00:00,30.9,0.5,2.47,577.38,987.07,62.28,583.12,0.78,0.15,0.01,4.21,58.14,18.5,35.05,99.54,nasa_power_ceres_merra2,34.04,-118.53
2007-01-01 21:00:00+00:00,26.88,0.37,1.88,517.67,1001.57,47.58,519.28,0.77,0.17,0.01,1.48,61.65,18.84,35.6,99.47,nasa_power_ceres_merra2,34.04,-118.53
2007-01-01 22:00:00+00:00,19.01,0.19,0.95,393.38,939.59,42.99,396.27,0.75,0.18,0.01,1.77,68.01,18.87,36.85,99.46,nasa_power_ceres_merra2,34.04,-118.53
2007-01-01 23:00:00+00:00,9.48,0.04,0.22,225.1,868.48,32.31,227.82,0.69,0.2,0.01,2.05,76.5,18.18,41.44,99.47,nasa_power_ceres_merra2,34.04,-118.53
2007-01-02 00:00:00+00:00,1.65,0.01,0.03,45.05,359.94,15.12,45.83,0.5,0.22,0.01,2.33,86.32,15.61,53.01,99.5,nasa_power_ceres_merra2,34.04,-118.53
2007-01-02 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.01,2.62,90.0,14.27,55.58,99.55,nasa_power_ceres_merra2,34.04,-118.53
2007-01-02 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.01,4.19,90.0,13.55,56.83,99.59,nasa_power_ceres_merra2,34.04,-118.53
