time_utc,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SRF_ALB,AOD_55,CLOUD_AMT,SZA,T2M,RH2M,PS,source,latitude_request,longitude_request
2018-01-01 00:00:00+00:00,1.53,0.01,0.03,36.58,266.18,16.78,37.97,0.41,0.2,0.04,7.89,86.4,15.43,57.0,99.55,nasa_power_ceres_merra2,34.04,-118.53
2018-01-01 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.04,6.66,90.0,13.6,72.67,99.62,nasa_power_ceres_merra2,34.04,-118.53
2018-01-01 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.04,5.52,90.0,12.72,83.29,99.69,nasa_power_ceres_merra2,34.04,-118.53
2018-01-01 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.04,5.0,90.0,12.65,84.69,99.74,nasa_power_ceres_merra2,34.04,-118.53
2018-01-01 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.04,24.21,90.0,13.0,79.71,99.76,nasa_power_ceres_merra2,34.04,-118.53
2018-01-01 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.04,56.62,90.0,13.21,73.93,99.78,nasa_power_ceres_merra2,34.04,-118.53
2018-01-01 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.04,22.74,90.0,13.42,68.09,99.81,nasa_power_ceres_merra2,34.04,-118.53
2018-01-01 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.04,46.92,90.0,13.69,62.13,99.82,nasa_power_ceres_merra2,34.04,-118.53
2018-01-01 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.04,37.82,90.0,13.74,58.09,99.83,nasa_power_ceres_merra2,34.04,-118.53
2018-01-01 09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,9.87,90.0,13.57,53.92,99.85,nasa_power_ceres_merra2,34.04,-118.53
2018-01-01 10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,2.22,90.0,12.92,50.68,99.82,nasa_power_ceres_merra2,34.04,-118.53
2018-01-01 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,9.06,90.0,12.4,47.32,99.76,nasa_power_ceres_merra2,34.04,-118.53
2018-01-01 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,14.23,90.0,12.14,44.65,99.78,nasa_power_ceres_merra2,34.04,-118.53
2018-01-01 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,60.18,90.0,11.92,43.48,99.82,nasa_power_ceres_merra2,34.04,-118.53
2018-01-01 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,73.09,90.0,11.88,41.66,99.86,nasa_power_ceres_merra2,34.04,-118.53
2018-01-01 15:00:00+00:00,1.81,0.01,0.03,37.4,134.82,30.98,50.62,0.35,0.18,0.03,72.46,85.61,12.68,38.45,99.89,nasa_power_ceres_merra2,34.04,-118.53
2018-01-01 16:00:00+00:00,9.03,0.05,0.25,187.9,431.5,101.69,224.98,0.54,0.18,0.03,72.07,75.77,15.01,32.4,99.93,nasa_power_ceres_merra2,34.04,-118.53
2018-01-01 17:00:00+00:00,16.73,0.19,0.95,318.4,609.68,134.31,385.2,0.59,0.14,0.03,75.89,67.42,17.12,28.57,99.94,nasa_power_ceres_merra2,34.04,-118.53
2018-01-01 18:00:00+00:00,24.35,0.38,1.85,440.0,682.52,194.59,501.45,0.65,0.14,0.03,79.48,61.24,19.68,26.48,99.92,nasa_power_ceres_merra2,34.04,-118.53
2018-01-01 19:00:00+00:00,29.0,0.5,2.47,524.97,790.72,118.55,562.72,0.7,0.14,0.03,28.02,57.97,21.5,21.42,99.89,nasa_power_ceres_merra2,34.04,-118.53
2018-01-01 20:00:00+00:00,29.1,0.49,2.45,530.4,846.2,105.68,561.0,0.71,0.14,0.03,22.63,58.1,21.79,23.79,99.83,nasa_power_ceres_merra2,34.04,-118.53
2018-01-01 21:00:00+00:00,24.2,0.37,1.83,438.17,627.03,235.75,497.35,0.65,0.18,0.03,95.26,61.61,21.76,26.08,99.77,nasa_power_ceres_merra2,34.04,-118.53
2018-01-01 22:00:00+00:00,16.41,0.19,0.9,305.83,337.41,197.93,375.52,0.58,0.18,0.04,95.19,67.97,21.43,28.48,99.72,nasa_power_ceres_merra2,34.04,-118.53
2018-01-01 23:00:00+00:00,8.2,0.04,0.22,159.55,195.84,116.51,210.93,0.48,0.18,0.04,93.31,76.46,19.46,37.36,99.69,nasa_power_ceres_merra2,34.04,-118.53
2018-01-02 00:00:00+00:00,1.38,0.01,0.03,25.6,35.05,26.85,39.58,0.28,0.17,0.04,95.77,86.29,16.66,52.85,99.69,nasa_power_ceres_merra2,34.04,-118.53
2018-01-02 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.04,99.21,90.0,15.59,59.04,99.73,nasa_power_ceres_merra2,34.04,-118.53
2018-01-02 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.04,84.44,90.0,15.35,62.35,99.78,nasa_power_ceres_merra2,34.04,-118.53
2018-01-02 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.04,67.88,90.0,15.61,64.66,99.81,nasa_power_ceres_merra2,34.04,-118.53
2018-01-02 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.05,58.24,90.0,15.83,64.11,99.81,nasa_power_ceres_merra2,34.04,-118.53
2018-01-02 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.05,87.28,90.0,16.3,59.83,99.84,nasa_power_ceres_merra2,34.04,-118.53
2018-01-02 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.05,100.0,90.0,16.35,59.14,99.86,nasa_power_ceres_merra2,34.04,-118.53
2018-01-02 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.05,99.52,90.0,16.36,59.48,99.92,nasa_power_ceres_merra2,34.04,-118.53
2018-01-02 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.05,99.69,90.0,15.73,62.94,99.85,nasa_power_ceres_merra2,34.04,-118.53
2018-01-02 09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.05,100.0,90.0,15.63,58.8,99.88,nasa_power_ceres_merra2,34.04,-118.53
2018-01-02 10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.05,100.0,90.0,15.54,54.17,99.88,nasa_power_ceres_merra2,34.04,-118.53
2018-01-02 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.05,100.0,90.0,15.15,49.8,99.86,nasa_power_ceres_merra2,34.04,-118.53
2018-01-02 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.05,100.0,90.0,14.93,45.8,99.83,nasa_power_ceres_merra2,34.04,-118.53
