time_utc,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SRF_ALB,AOD_55,CLOUD_AMT,SZA,T2M,RH2M,PS,source,latitude_request,longitude_request
2010-01-01 00:00:00+00:00,1.23,0.01,0.03,24.1,106.86,23.47,39.83,0.27,0.17,0.03,94.13,86.41,14.81,59.28,100.27,nasa_power_ceres_merra2,34.04,-118.53
2010-01-01 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,94.18,90.0,13.3,59.85,100.3,nasa_power_ceres_merra2,34.04,-118.53
2010-01-01 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.03,59.62,90.0,12.8,57.21,100.35,nasa_power_ceres_merra2,34.04,-118.53
2010-01-01 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.04,69.25,90.0,12.01,58.12,100.4,nasa_power_ceres_merra2,34.04,-118.53
2010-01-01 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.04,82.82,90.0,11.59,58.24,100.43,nasa_power_ceres_merra2,34.04,-118.53
2010-01-01 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.04,98.13,90.0,11.29,56.64,100.42,nasa_power_ceres_merra2,34.04,-118.53
2010-01-01 06:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.04,98.95,90.0,11.07,54.42,100.39,nasa_power_ceres_merra2,34.04,-118.53
2010-01-01 07:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.05,98.98,90.0,11.15,52.67,100.38,nasa_power_ceres_merra2,34.04,-118.53
2010-01-01 08:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.05,65.02,90.0,11.49,51.24,100.34,nasa_power_ceres_merra2,34.04,-118.53
2010-01-01 09:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.06,42.36,90.0,11.6,50.5,100.31,nasa_power_ceres_merra2,34.04,-118.53
2010-01-01 10:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.07,69.64,90.0,11.53,50.0,100.25,nasa_power_ceres_merra2,34.04,-118.53
2010-01-01 11:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.07,93.1,90.0,11.52,49.18,100.2,nasa_power_ceres_merra2,34.04,-118.53
2010-01-01 12:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.08,99.6,90.0,11.43,48.16,100.18,nasa_power_ceres_merra2,34.04,-118.53
2010-01-01 13:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.08,99.54,90.0,11.17,48.04,100.19,nasa_power_ceres_merra2,34.04,-118.53
2010-01-01 14:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.08,99.8,90.0,10.86,49.05,100.21,nasa_power_ceres_merra2,34.04,-118.53
2010-01-01 15:00:00+00:00,1.86,0.01,0.03,34.3,30.07,33.95,47.38,0.32,0.16,0.09,97.04,85.61,10.79,49.54,100.24,nasa_power_ceres_merra2,34.04,-118.53
2010-01-01 16:00:00+00:00,8.62,0.06,0.32,158.07,85.94,129.85,215.93,0.46,0.17,0.09,95.85,75.77,11.61,46.7,100.27,nasa_power_ceres_merra2,34.04,-118.53
2010-01-01 17:00:00+00:00,16.11,0.22,1.08,285.77,132.81,222.36,373.85,0.53,0.17,0.1,95.99,67.42,12.97,42.7,100.26,nasa_power_ceres_merra2,34.04,-118.53
2010-01-01 18:00:00+00:00,22.13,0.4,1.92,383.75,197.33,281.78,487.73,0.57,0.17,0.11,95.49,61.25,15.0,37.03,100.22,nasa_power_ceres_merra2,34.04,-118.53
2010-01-01 19:00:00+00:00,25.92,0.52,2.58,439.92,277.86,308.9,552.97,0.59,0.17,0.09,96.23,57.98,16.69,34.38,100.1,nasa_power_ceres_merra2,34.04,-118.53
2010-01-01 20:00:00+00:00,21.69,0.44,2.2,345.83,32.14,295.04,549.35,0.47,0.17,0.09,99.49,58.11,17.41,38.35,99.98,nasa_power_ceres_merra2,34.04,-118.53
2010-01-01 21:00:00+00:00,18.82,0.34,1.67,302.83,32.4,251.03,484.02,0.45,0.17,0.09,99.46,61.62,17.4,43.64,99.9,nasa_power_ceres_merra2,34.04,-118.53
2010-01-01 22:00:00+00:00,13.54,0.19,0.93,222.48,27.0,190.2,363.5,0.42,0.17,0.09,99.64,67.98,16.79,51.68,99.86,nasa_power_ceres_merra2,34.04,-118.53
2010-01-01 23:00:00+00:00,7.27,0.05,0.25,123.43,14.22,107.29,202.02,0.37,0.16,0.09,99.77,76.47,16.37,55.13,99.86,nasa_power_ceres_merra2,34.04,-118.53
2010-01-02 00:00:00+00:00,1.44,0.01,0.03,25.2,1.85,25.15,37.7,0.28,0.16,0.08,99.88,86.29,15.35,58.85,99.87,nasa_power_ceres_merra2,34.04,-118.53
2010-01-02 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.07,99.97,90.0,14.7,59.57,99.9,nasa_power_ceres_merra2,34.04,-118.53
2010-01-02 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.07,99.93,90.0,14.49,58.27,99.91,nasa_power_ceres_merra2,34.04,-118.53
2010-01-02 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.06,79.9,90.0,14.19,58.82,99.91,nasa_power_ceres_merra2,34.04,-118.53
2010-01-02 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.06,14.61,90.0,13.39,61.44,99.89,nasa_power_ceres_merra2,34.04,-118.53
2010-01-02 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.06,2.09,90.0,13.08,61.61,99.86,nasa_power_ceres_merra2,34.04,-118.53
