time,source,model,temperature_1000hPa,relative_humidity_1000hPa,dew_point_1000hPa,cloud_cover_1000hPa,vertical_velocity_1000hPa,geopotential_height_1000hPa,temperature_925hPa,relative_humidity_925hPa,dew_point_925hPa,cloud_cover_925hPa,vertical_velocity_925hPa,geopotential_height_925hPa,temperature_850hPa,relative_humidity_850hPa,dew_point_850hPa,cloud_cover_850hPa,vertical_velocity_850hPa,geopotential_height_850hPa,temperature_700hPa,relative_humidity_700hPa,dew_point_700hPa,cloud_cover_700hPa,vertical_velocity_700hPa,geopotential_height_700hPa,temperature_600hPa,relative_humidity_600hPa,dew_point_600hPa,cloud_cover_600hPa,vertical_velocity_600hPa,geopotential_height_600hPa,temperature_500hPa,relative_humidity_500hPa,dew_point_500hPa,cloud_cover_500hPa,vertical_velocity_500hPa,geopotential_height_500hPa,temperature_400hPa,relative_humidity_400hPa,dew_point_400hPa,cloud_cover_400hPa,vertical_velocity_400hPa,geopotential_height_400hPa,temperature_300hPa,relative_humidity_300hPa,dew_point_300hPa,cloud_cover_300hPa,vertical_velocity_300hPa,geopotential_height_300hPa,timezone,latitude_grid,longitude_grid,elevation_m,generationtime_ms
2026-09-22T00:00,pressure_profile,best_match,68.0,77,60.5,0,-0.05,360.892,60.0,90,57.0,24,-0.04,2559.055,59.6,55,43.4,0,-0.04,4911.418,44.3,36,18.7,0,-0.02,10236.221,28.4,36,4.9,0,-0.02,14314.305,13.9,7,-38.7,0,-0.01,18996.062,-5.2,15,-41.1,0,-0.01,24521.24,-32.8,2,-92.1,0,0.0,31268.522,America/Los_Angeles,34.03202,-118.52633,86.0,88.20927143096924
2026-09-22T01:00,pressure_profile,best_match,68.2,74,59.6,0,-0.05,360.892,59.4,91,56.7,27,-0.04,2559.055,59.4,53,42.2,0,-0.04,4908.137,44.1,33,17.0,0,-0.02,10232.939,29.0,29,0.5,0,-0.02,14314.305,13.5,9,-35.8,0,-0.01,18992.784,-5.2,17,-39.3,0,-0.01,24517.19,-32.8,2,-92.1,0,0.0,31263.228,America/Los_Angeles,34.03202,-118.52633,86.0,88.20927143096924
2026-09-22T02:00,pressure_profile,best_match,68.0,73,59.0,0,-0.04,357.612,59.2,91,56.5,27,-0.03,2555.775,59.4,52,41.7,0,-0.03,4901.575,44.6,31,15.9,0,-0.02,10229.659,29.3,23,-4.4,0,-0.02,14314.305,14.8,9,-34.8,0,-0.01,18996.062,-4.7,17,-38.8,0,0.0,24533.392,-32.8,4,-83.0,0,0.0,31279.106,America/Los_Angeles,34.03202,-118.52633,86.0,88.20927143096924
2026-09-22T03:00,pressure_profile,best_match,68.0,74,59.4,0,-0.03,357.612,59.0,91,56.3,27,-0.03,2555.775,58.7,57,43.5,0,-0.02,4901.575,44.3,23,9.1,0,-0.01,10219.816,28.7,18,-10.1,0,-0.01,14304.462,13.9,9,-35.5,0,-0.01,18979.658,-5.2,17,-39.3,0,-0.01,24509.088,-33.7,4,-83.6,0,0.0,31247.354,America/Los_Angeles,34.03202,-118.52633,86.0,88.20927143096924
2026-09-22T04:00,pressure_profile,best_match,67.8,73,58.9,0,-0.03,357.612,58.8,93,56.8,36,-0.03,2552.494,58.5,54,41.9,0,-0.02,4898.294,44.3,22,8.0,0,-0.02,10219.816,29.3,16,-11.1,0,-0.01,14301.182,14.4,9,-35.2,0,-0.01,18982.94,-6.4,20,-37.1,0,0.0,24509.088,-34.6,6,-78.8,0,0.0,31236.772,America/Los_Angeles,34.03202,-118.52633,86.0,88.20927143096924
2026-09-22T05:00,pressure_profile,best_match,67.5,73,58.5,0,-0.03,351.05,58.4,94,56.7,41,-0.02,2545.932,58.3,52,40.7,0,-0.02,4888.452,44.3,23,9.1,0,-0.01,10209.974,29.7,14,-14.1,0,-0.01,14294.619,13.9,10,-32.7,0,-0.01,18976.378,-7.5,25,-34.1,0,0.0,24492.888,-35.5,6,-79.5,0,0.0,31205.02,America/Los_Angeles,34.03202,-118.52633,86.0,88.20927143096924
2026-09-22T06:00,pressure_profile,best_match,66.9,74,58.4,0,-0.03,357.612,58.4,96,57.2,52,-0.03,2552.494,59.2,49,40.0,0,-0.02,4898.294,44.6,26,11.4,0,-0.02,10226.378,30.3,13,-15.5,0,-0.01,14311.023,13.9,7,-38.7,0,-0.01,18999.344,-8.1,23,-35.8,0,0.0,24505.04,-36.4,4,-85.7,0,0.0,31210.312,America/Los_Angeles,34.03202,-118.52633,86.0,88.20927143096924
2026-09-22T07:00,pressure_profile,best_match,66.6,78,59.5,0,-0.02,367.454,58.0,96,56.9,52,-0.02,2562.336,60.5,39,35.4,0,-0.02,4911.418,44.6,28,13.3,0,-0.01,10239.501,30.7,14,-13.3,0,-0.01,14330.709,13.9,4,-47.4,0,-0.01,19019.03,-7.5,17,-41.2,0,0.0,24525.292,-36.4,4,-85.7,0,0.0,31226.19,America/Los_Angeles,34.03202,-118.52633,86.0,88.20927143096924
2026-09-22T08:00,pressure_profile,best_match,66.7,79,60.0,0,-0.01,383.858,57.2,98,56.6,66,-0.01,2575.459,60.2,46,39.4,0,-0.01,4917.979,43.8,34,17.5,0,-0.01,10249.344,29.7,19,-7.9,0,0.0,14330.709,14.4,6,-42.2,0,0.0,19022.31,-7.5,12,-47.2,0,0.0,24533.392,-36.4,6,-80.2,0,0.0,31231.478,America/Los_Angeles,34.03202,-118.52633,86.0,88.20927143096924
2026-09-22T09:00,pressure_profile,best_match,67.5,75,59.3,0,0.01,380.577,57.0,98,56.4,66,0.01,2572.179,61.5,43,38.8,0,0.01,4921.26,43.8,36,18.2,0,0.01,10259.187,29.7,28,0.1,0,0.0,14337.271,14.4,9,-35.2,0,0.0,19032.152,-6.9,15,-42.5,0,0.0,24545.542,-37.3,8,-76.9,0,0.0,31242.064,America/Los_Angeles,34.03202,-118.52633,86.0,88.20927143096924
2026-09-22T10:00,pressure_profile,best_match,68.7,74,60.1,0,0.01,374.016,58.4,92,56.1,32,-0.02,2568.898,63.1,41,39.0,0,-0.05,4927.822,43.5,38,19.4,0,-0.03,10265.748,30.0,33,4.0,0,-0.04,14343.832,14.8,7,-38.1,0,-0.04,19041.994,-7.5,18,-39.6,0,0.01,24553.644,-38.2,18,-65.9,0,0.0,31247.354,America/Los_Angeles,34.03202,-118.52633,86.0,88.20927143096924
2026-09-22T11:00,pressure_profile,best_match,70.2,71,60.3,0,0.03,341.207,60.7,83,55.5,0,0.0,2542.651,64.4,34,35.4,0,-0.04,4911.418,43.5,39,20.1,0,0.01,10249.344,31.0,26,0.3,0,-0.02,14337.271,14.8,7,-38.1,0,-0.03,19038.714,-7.5,15,-43.0,0,0.01,24549.594,-39.1,26,-61.1,0,0.0,31242.064,America/Los_Angeles,34.03202,-118.52633,86.0,88.20927143096924
2026-09-22T12:00,pressure_profile,best_match,71.1,71,61.2,0,0.05,347.769,63.3,75,55.2,0,0.01,2555.775,65.0,33,35.2,0,-0.05,4931.103,43.5,40,20.8,0,0.0,10272.31,31.7,23,-2.4,0,-0.02,14360.236,14.8,7,-38.1,0,-0.05,19064.96,-7.5,15,-43.0,0,-0.01,24577.946,-39.1,26,-61.1,0,-0.01,31268.522,America/Los_Angeles,34.03202,-118.52633,86.0,88.20927143096924
2026-09-22T13:00,pressure_profile,best_match,70.9,75,62.6,0,0.04,331.365,65.1,70,55.1,0,-0.01,2542.651,65.9,32,35.2,0,-0.05,4924.541,43.5,41,21.4,0,0.0,10265.748,32.0,21,-3.3,0,-0.02,14356.955,15.2,7,-37.7,0,-0.03,19064.96,-7.5,15,-43.0,0,0.0,24581.998,-39.1,24,-62.4,0,-0.01,31268.522,America/Los_Angeles,34.03202,-118.52633,86.0,88.20927143096924
2026-09-22T14:00,pressure_profile,best_match,70.7,76,62.8,0,0.03,305.118,66.5,65,54.3,0,-0.01,2516.404,66.1,34,36.9,0,-0.02,4904.856,43.5,41,21.4,0,0.01,10249.344,32.3,19,-5.7,0,-0.02,14343.832,15.2,7,-37.7,0,-0.02,19051.838,-7.5,15,-43.0,0,0.0,24569.846,-38.2,20,-64.4,0,-0.04,31257.936,America/Los_Angeles,34.03202,-118.52633,86.0,88.20927143096924
2026-09-22T15:00,pressure_profile,best_match,70.9,77,63.3,0,0.02,298.556,68.6,60,54.2,0,-0.03,2513.123,67.0,34,37.7,0,-0.05,4908.137,44.1,39,20.6,0,-0.04,10255.905,32.7,18,-6.8,0,-0.03,14353.675,15.6,7,-37.4,0,-0.02,19061.68,-8.1,15,-43.5,0,0.0,24577.946,-37.3,10,-73.8,0,-0.04,31268.522,America/Los_Angeles,34.03202,-118.52633,86.0,88.20927143096924
2026-09-22T16:00,pressure_profile,best_match,71.6,76,63.6,0,0.02,278.871,70.6,55,53.6,0,-0.02,2496.719,67.8,33,37.7,0,-0.03,4895.013,44.3,39,20.8,0,-0.02,10249.344,32.7,18,-6.8,0,-0.01,14350.394,15.6,7,-37.4,0,-0.03,19061.68,-8.1,15,-43.5,0,-0.05,24577.946,-37.3,8,-76.9,0,-0.03,31268.522,America/Los_Angeles,34.03202,-118.52633,86.0,88.20927143096924
2026-09-22T17:00,pressure_profile,best_match,72.3,73,63.2,0,0.03,272.31,71.8,51,52.7,0,-0.01,2493.438,68.3,32,37.3,0,-0.02,4895.013,44.6,42,23.0,0,0.0,10252.625,32.3,19,-5.7,0,-0.01,14350.394,16.0,7,-37.1,0,-0.04,19064.96,-8.1,10,-50.2,0,-0.06,24586.046,-37.3,10,-73.8,0,-0.04,31279.106,America/Los_Angeles,34.03202,-118.52633,86.0,88.20927143096924
2026-09-22T18:00,pressure_profile,best_match,72.3,69,61.6,0,0.0,272.31,73.0,41,47.9,0,-0.02,2496.719,68.7,32,37.7,0,0.0,4901.575,44.6,43,23.7,0,-0.01,10262.467,32.3,19,-5.7,0,-0.03,14360.236,16.5,7,-36.8,0,-0.03,19078.084,-7.5,10,-49.8,0,-0.01,24602.25,-36.4,8,-76.2,0,-0.01,31300.27,America/Los_Angeles,34.03202,-118.52633,86.0,88.20927143096924
2026-09-22T19:00,pressure_profile,best_match,71.8,69,61.1,0,-0.02,278.871,73.9,36,45.3,0,-0.01,2503.281,69.1,32,38.0,0,0.01,4911.418,44.9,41,22.6,0,-0.02,10272.31,32.7,19,-5.4,0,-0.03,14373.359,16.5,7,-36.8,0,-0.01,19091.208,-7.5,12,-47.2,0,0.0,24614.4,-36.4,8,-76.2,0,-0.03,31316.146,America/Los_Angeles,34.03202,-118.52633,86.0,88.20927143096924
2026-09-22T20:00,pressure_profile,best_match,72.1,69,61.4,0,-0.03,288.714,74.3,38,47.1,0,0.0,2516.404,68.9,33,38.6,0,0.03,4924.541,45.1,37,20.2,0,-0.01,10288.714,33.3,15,-9.4,0,-0.03,14393.045,16.9,7,-36.5,0,-0.01,19114.174,-7.5,13,-45.0,0,-0.02,24638.704,-36.4,8,-76.2,0,-0.01,31342.604,America/Los_Angeles,34.03202,-118.52633,86.0,88.20927143096924
2026-09-22T21:00,pressure_profile,best_match,71.4,74,62.7,0,0.0,298.556,74.1,42,49.6,0,0.0,2522.966,68.7,33,38.4,0,0.0,4931.103,45.4,34,19.0,0,-0.03,10295.275,34.0,14,-10.7,0,-0.02,14406.168,16.9,7,-36.5,0,-0.04,19127.296,-8.1,13,-45.5,0,-0.07,24650.854,-36.4,8,-76.2,0,0.0,31363.772,America/Los_Angeles,34.03202,-118.52633,86.0,88.20927143096924
2026-09-22T22:00,pressure_profile,best_match,70.2,80,63.7,0,0.01,305.118,73.7,42,49.2,0,0.01,2529.528,68.9,31,37.0,0,0.0,4937.664,45.7,39,22.1,0,-0.03,10301.837,34.3,14,-10.4,0,-0.02,14416.011,17.3,7,-36.1,0,-0.06,19143.702,-7.5,12,-47.2,0,-0.07,24667.056,-36.4,10,-73.0,0,0.04,31379.644,America/Los_Angeles,34.03202,-118.52633,86.0,88.20927143096924
2026-09-22T23:00,pressure_profile,best_match,68.5,87,64.5,0,-0.01,305.118,73.0,42,48.5,0,0.0,2522.966,69.1,28,34.7,0,0.0,4931.103,45.7,36,20.0,0,-0.02,10295.275,34.0,14,-10.7,0,-0.01,14409.449,17.3,9,-32.9,0,-0.05,19133.86,-6.9,10,-49.3,0,-0.06,24663.004,-37.3,10,-73.8,0,0.01,31374.356,America/Los_Angeles,34.03202,-118.52633,86.0,88.20927143096924
2026-09-23T00:00,pressure_profile,best_match,67.8,89,64.5,0,-0.01,311.68,72.8,42,48.3,0,-0.01,2526.247,69.6,25,32.2,0,-0.01,4934.384,45.7,36,20.0,0,-0.02,10301.837,33.7,14,-10.9,0,-0.01,14412.729,17.3,9,-32.9,0,-0.04,19137.138,-6.4,8,-51.9,0,-0.06,24667.056,-37.3,10,-73.8,0,0.03,31384.938,America/Los_Angeles,34.03202,-118.52633,86.0,88.20927143096924
2026-09-23T01:00,pressure_profile,best_match,67.5,90,64.4,5,-0.02,301.837,73.1,40,47.4,0,-0.01,2519.685,69.8,25,32.4,0,-0.01,4927.822,46.0,33,18.7,0,-0.02,10295.275,34.0,14,-10.7,0,-0.01,14406.168,17.3,9,-32.9,0,-0.01,19133.86,-5.8,8,-51.4,0,-0.04,24671.106,-38.2,14,-69.7,0,0.03,31384.938,America/Los_Angeles,34.03202,-118.52633,86.0,88.20927143096924
2026-09-23T02:00,pressure_profile,best_match,67.6,87,63.6,0,-0.02,305.118,73.7,38,46.6,0,-0.01,2522.966,69.8,27,34.3,0,0.0,4934.384,45.7,36,20.0,0,-0.01,10301.837,34.0,13,-12.6,0,-0.02,14409.449,17.3,10,-30.1,0,0.0,19137.138,-5.8,8,-51.4,0,-0.02,24671.106,-38.2,14,-69.7,0,0.0,31384.938,America/Los_Angeles,34.03202,-118.52633,86.0,88.20927143096924
2026-09-23T03:00,pressure_profile,best_match,67.5,88,63.8,0,-0.01,314.961,74.3,36,45.6,0,-0.01,2532.808,69.6,26,33.2,0,0.0,4944.226,45.4,34,19.0,0,0.0,10311.68,34.0,13,-12.6,0,0.0,14419.291,16.9,10,-30.4,0,0.01,19143.702,-5.8,8,-51.4,0,-0.01,24675.156,-38.2,14,-69.7,0,0.01,31390.23,America/Los_Angeles,34.03202,-118.52633,86.0,88.20927143096924
2026-09-23T04:00,pressure_profile,best_match,66.7,87,62.7,0,-0.02,314.961,73.7,38,46.6,0,-0.01,2529.528,69.4,27,33.9,0,-0.02,4937.664,45.1,32,17.2,0,-0.01,10301.837,33.3,16,-7.8,0,-0.01,14406.168,16.9,10,-30.4,0,-0.01,19127.296,-5.8,12,-45.8,0,-0.06,24667.056,-37.3,8,-76.9,0,-0.01,31379.644,America/Los_Angeles,34.03202,-118.52633,86.0,88.20927143096924
2026-09-23T05:00,pressure_profile,best_match,66.9,86,62.6,0,-0.02,311.68,74.3,35,44.9,0,-0.01,2526.247,69.4,26,33.0,0,-0.03,4937.664,45.4,31,16.6,0,-0.01,10298.557,33.0,15,-9.7,0,0.0,14402.888,17.3,10,-30.1,0,0.01,19124.016,-5.8,12,-45.8,0,-0.02,24667.056,-38.2,8,-77.6,0,0.03,31379.644,America/Los_Angeles,34.03202,-118.52633,86.0,88.20927143096924
2026-09-23T06:00,pressure_profile,best_match,67.3,84,62.3,0,-0.02,311.68,75.5,31,42.8,0,-0.02,2529.528,69.6,25,32.2,0,-0.04,4944.226,45.1,30,15.5,0,-0.01,10305.118,33.3,14,-11.2,0,-0.01,14409.449,17.3,10,-30.1,0,-0.01,19130.578,-5.8,10,-48.4,0,-0.01,24671.106,-38.2,10,-74.5,0,0.01,31384.938,America/Los_Angeles,34.03202,-118.52633,86.0,88.20927143096924
