date,day_overall_peak_0_100,day_absolute_peak_0_100,day_local_peak_0_100,day_atmospheric_peak_0_100,day_confidence_at_peak_0_100,best_30m_start,best_hour_start,best_hour_score_0_100,best_window_start,best_window_end,best_window_mean_0_100,peak_uv_index,peak_predicted_uva_wm2,peak_temperature_f,peak_precip_probability_pct,blocked_half_hours,day_status
2026-09-22,59.4,49.7,82.8,55.7,90.4,2026-09-22T14:00:00,2026-09-22T13:30:00,59.0,2026-09-22T12:00:00,2026-09-22T16:00:00,54.7,6.51,48.22,,,0,GOOD
2026-09-23,56.1,47.9,81.8,53.0,74.8,2026-09-23T14:00:00,2026-09-23T13:30:00,55.7,2026-09-23T11:00:00,2026-09-23T16:00:00,52.6,6.65,44.41,,,0,GOOD
2026-09-24,58.2,51.1,87.6,50.1,72.0,2026-09-24T13:00:00,2026-09-24T13:00:00,58.2,2026-09-24T11:30:00,2026-09-24T15:30:00,54.9,6.75,49.27,,,0,GOOD
2026-09-25,59.3,51.2,88.4,53.6,76.8,2026-09-25T13:00:00,2026-09-25T13:00:00,58.5,2026-09-25T11:30:00,2026-09-25T15:30:00,54.9,6.7,49.75,,,0,GOOD
2026-09-26,55.7,47.8,83.7,59.9,65.2,2026-09-26T14:00:00,2026-09-26T13:30:00,55.7,2026-09-26T11:30:00,2026-09-26T16:00:00,50.8,6.25,46.42,,,0,GOOD
2026-09-27,58.2,52.1,90.5,66.5,53.3,2026-09-27T12:30:00,2026-09-27T12:30:00,58.1,2026-09-27T12:00:00,2026-09-27T14:30:00,54.7,6.91,50.05,,,0,GOOD
2026-09-28,58.8,50.6,89.5,59.2,69.9,2026-09-28T13:00:00,2026-09-28T13:00:00,58.7,2026-09-28T11:30:00,2026-09-28T15:30:00,55.4,6.55,49.62,,,0,GOOD
2026-09-29,57.3,49.9,89.1,58.1,63.3,2026-09-29T13:00:00,2026-09-29T13:00:00,57.3,2026-09-29T12:00:00,2026-09-29T15:30:00,54.3,6.55,48.36,,,0,GOOD
2026-09-30,60.1,50.7,90.8,65.2,74.0,2026-09-30T13:00:00,2026-09-30T13:00:00,59.7,2026-09-30T11:30:00,2026-09-30T15:30:00,55.9,6.6,49.37,,,0,GOOD
2026-10-01,59.3,50.2,90.6,64.9,71.6,2026-10-01T13:00:00,2026-10-01T13:00:00,59.1,2026-10-01T11:30:00,2026-10-01T15:30:00,55.8,6.5,49.09,,,0,GOOD
2026-10-02,60.4,50.1,91.0,66.7,79.4,2026-10-02T13:00:00,2026-10-02T13:00:00,60.2,2026-10-02T11:30:00,2026-10-02T15:30:00,56.6,6.55,48.64,,,0,GOOD
2026-10-03,60.3,49.5,90.7,66.0,83.3,2026-10-03T13:00:00,2026-10-03T13:00:00,60.0,2026-10-03T11:30:00,2026-10-03T15:30:00,56.6,6.4,48.57,,,0,GOOD
2026-10-04,60.2,49.4,91.2,68.1,80.4,2026-10-04T13:00:00,2026-10-04T13:00:00,60.0,2026-10-04T11:30:00,2026-10-04T15:30:00,56.4,6.4,48.39,,,0,GOOD
2026-10-05,60.0,49.0,91.2,68.6,80.9,2026-10-05T13:00:00,2026-10-05T13:00:00,59.8,2026-10-05T11:30:00,2026-10-05T15:30:00,56.1,6.35,48.05,,,0,GOOD
