time,source,model,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,weather_code,cape,visibility,wind_speed_10m,wind_direction_10m,wind_gusts_10m,sunshine_duration,is_day,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,terrestrial_radiation,shortwave_radiation_instant,direct_radiation_instant,diffuse_radiation_instant,direct_normal_irradiance_instant,terrestrial_radiation_instant,timezone,latitude_grid,longitude_grid,elevation_m,generationtime_ms,uv_index,uv_index_clear_sky,uv_temporal_source,uv_transmission,uv_attenuation,clearness_index,clearness_index_instant,direct_fraction,diffuse_fraction,direct_fraction_instant,diffuse_fraction_instant,sunshine_fraction,ghi_balance_error,ghi_balance_error_instant,sun_score_0_100,sun_score_evidence_weight
2026-09-22T11:00,hrrr_15min,ncep_hrrr_conus,72.7,68,61.6,74.4,0.0,0.0,0.0,1,0.0,74146.984,6.4,234,6.5,900.0,1,590.0,402.0,188.0,551.6,989.8,600.3,409.0,191.3,561.2,1007.1,America/Los_Angeles,34.03202,-118.52633,86.0,0.6581544876098633,5.1,5.1,best_match_hourly_time_interpolated,1.0,0.0,0.5960800161648818,0.5960679177837355,0.6813559322033899,0.31864406779661014,0.6813260036648343,0.3186739963351658,1.0,0.0,0.0,82.0,1.0
2026-09-22T11:15,hrrr_15min,ncep_hrrr_conus,73.1,69,62.3,75.9,0.0,0.0,0.0,1,0.0,73490.816,7.4,235,7.8,900.0,1,710.0,563.0,147.0,747.6,1022.9,720.5,571.3,149.2,758.6,1038.0,America/Los_Angeles,34.03202,-118.52633,86.0,0.6581544876098633,5.3999999999999995,5.3999999999999995,best_match_hourly_time_interpolated,1.0,0.0,0.694104995600743,0.6941233140655106,0.7929577464788733,0.20704225352112676,0.7929215822345592,0.20707841776544064,1.0,0.0,0.0,91.1,1.0
2026-09-22T11:30,hrrr_15min,ncep_hrrr_conus,73.1,69,62.3,75.8,0.0,0.0,0.0,1,0.0,72506.56,8.1,238,8.5,900.0,1,730.0,560.0,170.0,723.3,1051.5,738.9,566.9,172.1,732.2,1064.4,America/Los_Angeles,34.03202,-118.52633,86.0,0.6581544876098633,5.699999999999999,5.699999999999999,best_match_hourly_time_interpolated,1.0,0.0,0.6942463147883975,0.6941939120631341,0.7671232876712328,0.2328767123287671,0.7672215455406686,0.2329137907700636,1.0,0.0,-0.10000000000002274,91.8,1.0
2026-09-22T11:45,hrrr_15min,ncep_hrrr_conus,72.8,70,62.5,74.9,0.0,0.0,0.0,0,0.0,70538.056,8.4,245,8.9,900.0,1,680.0,409.0,271.0,516.4,1075.7,686.7,413.0,273.7,521.5,1086.3,America/Los_Angeles,34.03202,-118.52633,86.0,0.6581544876098633,6.0,6.0,best_match_hourly_time_interpolated,1.0,0.0,0.6321465092497908,0.6321458160729081,0.6014705882352941,0.3985294117647059,0.601427115188583,0.3985728848114169,1.0,0.0,0.0,85.4,1.0
2026-09-22T12:00,hrrr_15min,ncep_hrrr_conus,72.8,71,62.9,75.1,0.0,0.0,0.0,0,0.0,68897.64,9.2,247,10.1,900.0,1,720.0,443.0,277.0,549.4,1095.3,725.4,446.3,279.1,553.5,1103.5,America/Los_Angeles,34.03202,-118.52633,86.0,0.6581544876098633,6.3,6.3,best_match_hourly_time_interpolated,1.0,0.0,0.657354149548069,0.6573629361123697,0.6152777777777778,0.38472222222222224,0.6152467604080508,0.3847532395919493,1.0,0.0,-1.1368683772161603e-13,86.8,1.0
2026-09-22T12:15,hrrr_15min,ncep_hrrr_conus,72.8,72,63.3,75.7,0.0,0.0,0.0,0,0.0,67257.216,9.7,251,10.5,900.0,1,790.0,591.0,199.0,723.1,1110.1,794.2,594.1,200.1,726.9,1116.0,America/Los_Angeles,34.03202,-118.52633,86.0,0.6581544876098633,6.4375,6.4375,best_match_hourly_time_interpolated,1.0,0.0,0.711647599315377,0.7116487455197134,0.7481012658227848,0.2518987341772152,0.7480483505414253,0.2519516494585746,1.0,0.0,0.0,93.3,1.0
2026-09-22T12:30,hrrr_15min,ncep_hrrr_conus,72.6,73,63.5,75.5,0.0,0.0,0.0,0,0.0,65616.796,10.4,255,11.4,900.0,1,810.0,633.0,177.0,767.5,1120.3,812.5,635.0,177.6,769.9,1123.8,America/Los_Angeles,34.03202,-118.52633,86.0,0.6581544876098633,6.574999999999999,6.574999999999999,best_match_hourly_time_interpolated,1.0,0.0,0.7230206194769259,0.722993415198434,0.7814814814814814,0.21851851851851853,0.7815384615384615,0.21858461538461538,1.0,0.0,-0.10000000000002274,94.8,1.0
2026-09-22T12:45,hrrr_15min,ncep_hrrr_conus,72.7,73,63.6,75.8,0.0,0.0,0.0,0,0.0,64304.46,10.5,258,11.6,900.0,1,831.0,677.0,154.0,816.9,1125.6,831.8,677.7,154.1,817.7,1126.7,America/Los_Angeles,34.03202,-118.52633,86.0,0.6581544876098633,6.7124999999999995,6.7124999999999995,best_match_hourly_time_interpolated,1.0,0.0,0.7382729211087421,0.7382621815922605,0.8146811070998796,0.18531889290012032,0.8147391199807648,0.1852608800192354,1.0,0.0,-1.1368683772161603e-13,96.6,1.0
2026-09-22T13:00,hrrr_15min,ncep_hrrr_conus,72.5,74,63.8,75.2,0.0,0.0,0.0,0,0.0,62664.044,11.1,260,12.5,900.0,1,816.0,620.0,196.0,747.8,1126.1,815.0,619.3,195.8,746.9,1124.8,America/Los_Angeles,34.03202,-118.52633,86.0,0.6581544876098633,6.85,6.85,best_match_hourly_time_interpolated,1.0,0.0,0.7246248112956221,0.7245732574679944,0.7598039215686274,0.24019607843137256,0.7598773006134969,0.24024539877300616,1.0,0.0,-0.09999999999990905,94.1,1.0
2026-09-22T13:15,hrrr_15min,ncep_hrrr_conus,72.5,75,64.1,75.1,0.0,0.0,0.0,0,0.0,61351.708,11.8,261,13.4,900.0,1,831.0,685.0,146.0,829.4,1121.8,828.2,682.7,145.5,826.6,1118.1,America/Los_Angeles,34.03202,-118.52633,86.0,0.6581544876098633,6.75,6.8,best_match_hourly_time_interpolated,0.9926470588235294,0.007352941176470562,0.7407737564628276,0.7407208657544049,0.8243080625752106,0.17569193742478942,0.8243177976334218,0.1756822023665781,1.0,0.0,0.0,96.8,1.0
2026-09-22T13:30,hrrr_15min,ncep_hrrr_conus,72.4,75,64.0,74.4,0.0,0.0,0.0,0,0.0,60367.452,12.4,263,14.1,900.0,1,801.0,604.0,197.0,737.3,1112.7,796.6,600.7,195.9,733.3,1106.6,America/Los_Angeles,34.03202,-118.52633,86.0,0.6581544876098633,6.65,6.75,best_match_hourly_time_interpolated,0.9851851851851853,0.014814814814814725,0.7198705850633593,0.7198626423278511,0.7540574282147315,0.2459425717852684,0.7540798393170977,0.24592016068290234,1.0,0.0,0.0,93.4,1.0
2026-09-22T13:45,hrrr_15min,ncep_hrrr_conus,72.1,76,64.1,73.7,0.0,0.0,0.0,0,0.0,59383.204,13.3,263,15.4,900.0,1,790.0,611.0,179.0,755.3,1098.8,783.9,606.3,177.6,749.4,1090.4,America/Los_Angeles,34.03202,-118.52633,86.0,0.6581544876098633,6.55,6.7,best_match_hourly_time_interpolated,0.9776119402985074,0.022388059701492602,0.7189661448853295,0.7189104915627292,0.7734177215189874,0.22658227848101264,0.7734404898584003,0.2265595101415997,1.0,0.0,0.0,93.9,1.0
2026-09-22T14:00,hrrr_15min,ncep_hrrr_conus,72.2,76,64.2,73.7,0.0,0.0,0.0,0,0.0,59383.204,13.8,263,16.1,900.0,1,804.0,674.0,130.0,847.5,1080.3,796.0,667.3,128.7,839.0,1069.5,America/Los_Angeles,34.03202,-118.52633,86.0,0.6581544876098633,6.45,6.65,best_match_hourly_time_interpolated,0.9699248120300752,0.03007518796992481,0.744237711746737,0.7442730247779337,0.8383084577114428,0.16169154228855723,0.8383165829145728,0.16168341708542713,1.0,0.0,0.0,97.0,1.0
2026-09-22T14:15,hrrr_15min,ncep_hrrr_conus,71.9,77,64.3,73.1,0.0,0.0,0.0,0,0.0,59055.116,14.0,263,16.6,900.0,1,776.0,628.0,148.0,807.0,1057.1,766.4,620.2,146.2,797.0,1044.0,America/Los_Angeles,34.03202,-118.52633,86.0,0.6581544876098633,6.2375,6.4375,best_match_hourly_time_interpolated,0.9689320388349514,0.03106796116504862,0.7340838142086842,0.7340996168582375,0.8092783505154639,0.19072164948453607,0.8092379958246347,0.19076200417536535,1.0,0.0,-1.1368683772161603e-13,95.5,1.0
2026-09-22T14:30,hrrr_15min,ncep_hrrr_conus,71.9,77,64.3,73.1,0.0,0.0,0.0,0,0.0,57742.78,13.8,263,16.6,900.0,1,760.0,632.0,128.0,834.0,1029.4,748.7,622.6,126.1,821.6,1014.0,America/Los_Angeles,34.03202,-118.52633,86.0,0.6581544876098633,6.025,6.2250000000000005,best_match_hourly_time_interpolated,0.967871485943775,0.032128514056224966,0.7382941519331648,0.7383629191321499,0.8315789473684211,0.16842105263157894,0.8315747295311874,0.1684252704688126,1.0,0.0,0.0,96.4,1.0
2026-09-22T14:45,hrrr_15min,ncep_hrrr_conus,71.7,78,64.5,72.8,0.0,0.0,0.0,0,0.0,56430.444,13.5,263,16.6,900.0,1,718.0,567.0,151.0,772.3,997.2,705.4,557.1,148.4,758.8,979.7,America/Los_Angeles,34.03202,-118.52633,86.0,0.6581544876098633,5.8125,6.0125,best_match_hourly_time_interpolated,0.9667359667359667,0.033264033264033266,0.7200160449257922,0.7200163315300602,0.7896935933147632,0.21030640668523676,0.7897646725262263,0.21037709101219168,1.0,0.0,-0.10000000000002274,93.2,1.0
2026-09-22T15:00,hrrr_15min,ncep_hrrr_conus,71.6,78,64.4,72.2,0.0,0.0,0.0,0,0.0,57086.612,13.7,265,16.8,900.0,1,675.0,485.0,190.0,685.7,960.8,661.3,475.1,186.1,671.7,941.3,America/Los_Angeles,34.03202,-118.52633,86.0,0.6581544876098633,5.6,5.8,best_match_hourly_time_interpolated,0.9655172413793103,0.034482758620689724,0.7025395503746878,0.7025390417507702,0.7185185185185186,0.2814814814814815,0.7184333887796764,0.28141539392106457,1.0,0.0,0.09999999999990905,89.0,1.0
