time_utc,cams_uv_biologically_effective_dose,cams_uv_biologically_effective_dose_clear_sky,cams_surface_downward_uv_radiation,source,cams_total_aerosol_optical_depth_at_340_nm,cams_total_aerosol_optical_depth_at_355_nm,cams_total_aerosol_optical_depth_at_380_nm,cams_total_aerosol_optical_depth_at_400_nm,cams_total_absorption_aerosol_optical_depth_at_340_nm,cams_total_absorption_aerosol_optical_depth_at_355_nm,cams_total_absorption_aerosol_optical_depth_at_380_nm,cams_total_absorption_aerosol_optical_depth_at_400_nm,cams_single_scattering_albedo_at_340_nm,cams_single_scattering_albedo_at_355_nm,cams_single_scattering_albedo_at_380_nm,cams_single_scattering_albedo_at_400_nm,cams_asymmetry_factor_at_340_nm,cams_asymmetry_factor_at_355_nm,cams_asymmetry_factor_at_380_nm,cams_asymmetry_factor_at_400_nm,cams_gems_total_column_ozone,cams_total_column_vertically_integrated_water_vapour,cams_total_column_cloud_liquid_water,cams_total_column_cloud_ice_water,cams_total_cloud_cover,cams_forecast_albedo,cams_surface_direct_normal_short_wave_solar_radiation,cams_surface_short_wave_solar_radiation_downwards,cams_cycle
2026-09-22 22:00:00+00:00,0.0035159136,0.014197949,1.503308e+06,cams_direct_forecast,0.38674933,0.3783756,0.36340275,0.35063624,0.015320063,0.014715362,0.013776268,0.013082845,0.9603876,0.9611092,0.9620909,0.96268827,0.7381912,0.74009484,0.74273443,0.7444517,0.006165064,24.61168,0.2728107,0.07785602,1.0,0.16519797,1.4090687e+07,1.2904824e+07,2026-09-22T12:00Z
2026-09-22 23:00:00+00:00,0.0006976781,0.0023753229,1.527124e+06,cams_direct_forecast,0.36346,0.35541835,0.34108868,0.3289127,0.015478862,0.014866317,0.013915334,0.013214343,0.95737,0.95813066,0.95916265,0.9597844,0.7328893,0.73465985,0.7370543,0.73857707,0.006163,25.125473,0.1772123,0.074455306,1.0,0.1654014,1.4090687e+07,1.3058396e+07,2026-09-22T12:00Z
2026-09-23 00:00:00+00:00,0.0,0.0,1.529573e+06,cams_direct_forecast,0.39376485,0.38508654,0.36960405,0.35643375,0.015743174,0.015116587,0.014144724,0.013430524,0.9600188,0.9607447,0.9617299,0.9623193,0.73770964,0.7395093,0.7419748,0.74354476,0.006144294,25.916138,0.14866781,0.055970896,0.99999154,0.16548818,1.4090687e+07,1.3082381e+07,2026-09-22T12:00Z
2026-09-23 01:00:00+00:00,0.0,0.0,1.529573e+06,cams_direct_forecast,0.37023655,0.36192638,0.3471392,0.3345918,0.015929516,0.015294602,0.014309967,0.0135880355,0.95695424,0.9577205,0.95875674,0.9593686,0.7334025,0.7350851,0.7373375,0.7387315,0.006135845,26.454407,0.13299298,0.04213931,0.9999135,0.16548818,1.4090687e+07,1.3082381e+07,2026-09-22T12:00Z
2026-09-23 02:00:00+00:00,0.0,0.0,1.529574e+06,cams_direct_forecast,0.35984147,0.35144785,0.336595,0.32405925,0.016313272,0.015663415,0.014655482,0.013916304,0.9546487,0.9554152,0.95644313,0.9570399,0.7294806,0.7310062,0.7329749,0.73413235,0.0061278543,26.96489,0.109729946,0.02554822,1.0,0.16548818,1.4090687e+07,1.3082421e+07,2026-09-22T12:00Z
2026-09-23 03:00:00+00:00,0.0,0.0,1.529548e+06,cams_direct_forecast,0.37214237,0.36346945,0.34812468,0.33517355,0.016842922,0.016172145,0.01513188,0.014368871,0.9546891,0.95545495,0.9564823,0.9570794,0.7296398,0.7311839,0.7331888,0.73437095,0.006123168,27.73706,0.09309566,0.010169841,0.99999493,0.16548818,1.4090687e+07,1.3082212e+07,2026-09-22T12:00Z
2026-09-23 04:00:00+00:00,0.0,0.0,1.529572e+06,cams_direct_forecast,0.36105773,0.35249943,0.3374003,0.32468975,0.016766557,0.016098833,0.015063217,0.01430343,0.95355284,0.9543198,0.95534563,0.95593816,0.72685826,0.7283226,0.73018694,0.7312562,0.006128169,28.17949,0.09385389,0.0053443015,0.9976108,0.16548818,1.4090687e+07,1.3082195e+07,2026-09-22T12:00Z
2026-09-23 05:00:00+00:00,0.0,0.0,1.529586e+06,cams_direct_forecast,0.37157857,0.3628123,0.34733456,0.334299,0.01621819,0.015571564,0.014568651,0.013833012,0.956311,0.95703876,0.9580136,0.9585784,0.729979,0.73150027,0.7334788,0.7346413,0.0061345827,28.196167,0.06602527,0.00405195,0.9999998,0.16548818,1.4090687e+07,1.3082324e+07,2026-09-22T12:00Z
2026-09-23 06:00:00+00:00,0.0,0.0,1.529566e+06,cams_direct_forecast,0.3512014,0.34273046,0.32781556,0.31529218,0.01517711,0.014571007,0.013630847,0.012941329,0.95675015,0.95745057,0.95838434,0.9589197,0.7285831,0.73000443,0.7318063,0.732826,0.006136451,27.852905,0.040644154,0.0047602877,0.9998275,0.16548818,1.4090687e+07,1.3082116e+07,2026-09-22T12:00Z
2026-09-23 07:00:00+00:00,0.0,0.0,1.529582e+06,cams_direct_forecast,0.3218736,0.31394634,0.3000366,0.28839725,0.01446801,0.013890157,0.01299346,0.01233563,0.9550391,0.9557447,0.9566824,0.95721555,0.723684,0.72496974,0.72652763,0.7273564,0.0061346977,27.497147,0.0606189,0.0026541401,1.0000001,0.16548818,1.4090687e+07,1.3082139e+07,2026-09-22T12:00Z
2026-09-23 08:00:00+00:00,0.0,0.0,1.529559e+06,cams_direct_forecast,0.3016287,0.29404598,0.28079033,0.2697386,0.0140532,0.0134922415,0.012621364,0.011981433,0.9534081,0.95411444,0.95504993,0.9555808,0.71879834,0.71995246,0.72127837,0.7219261,0.0061257454,27.067429,0.09837538,0.01056608,0.9996106,0.16548818,1.4090687e+07,1.3082292e+07,2026-09-22T12:00Z
2026-09-23 09:00:00+00:00,0.0,0.0,1.529591e+06,cams_direct_forecast,0.2923117,0.28486788,0.27188963,0.26109585,0.013773794,0.013224743,0.0123720905,0.011743253,0.9528806,0.9535767,0.95449644,0.95502406,0.71640426,0.7174822,0.71868485,0.71924365,0.006113541,26.577057,0.111272335,0.0077145454,1.0,0.16548818,1.4090687e+07,1.3082125e+07,2026-09-22T12:00Z
